Scenario,Technology,2015,2020,2025,2030,2035,2040,2045,2050
TU\TechnoFriendly,Hydro,101.08,101.08,101.08,101.08,101.08,101.08,101.08,101.08
TU\TechnoFriendly,PV,  0.00,  0.00,  0.00,  0.00,  0.00,  1.56,  3.87,  4.61
TU\TechnoFriendly,Thermal,  2.58,  2.25,  0.35,  0.30,  0.25,  0.75,  0.72,  0.15
TU\TechnoFriendly,Wind Offshore Deep,  0.00,  0.00,  0.00,  0.00, 11.68, 11.89, 12.10, 12.31
TU\TechnoFriendly,Wind Offshore Transitional,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  4.09
TU\TechnoFriendly,Wind Onshore,  2.29,  2.29, 18.99, 35.38, 35.09, 34.84, 34.84, 29.82
TU\TechnoFriendly,Sum,105.95,105.62,120.42,136.75,148.09,150.12,152.60,152.06
TU\SocietalCommitment,Hydro,101.08,101.08,101.08,112.20,112.20,112.20,112.20,112.20
TU\SocietalCommitment,PV,  0.00,  0.00,  0.00,  0.00,  6.53,  8.50,  8.53, 13.58
TU\SocietalCommitment,Thermal,  2.58,  2.25,  0.35,  0.30,  0.25,  0.21,  0.18,  0.18
TU\SocietalCommitment,Wind Onshore,  2.29, 19.02, 35.72, 40.69, 53.74, 52.54, 52.54, 47.53
TU\SocietalCommitment,Sum,105.95,122.35,137.14,153.19,172.73,173.46,173.46,173.49
TU\GradualDevelopment,Hydro,101.08,101.08,101.08,108.79,108.79,108.30,108.79,108.79
TU\GradualDevelopment,PV,  0.00,  0.00,  0.00,  0.00,  2.30,  6.56,  7.31,  8.30
TU\GradualDevelopment,Thermal,  2.58,  2.25,  0.35,  0.30,  0.25,  0.21,  0.72,  0.15
TU\GradualDevelopment,Wind Offshore Transitional,  0.00,  0.00,  0.00,  0.00,  0.00, 22.21, 22.21, 22.21
TU\GradualDevelopment,Wind Onshore,  2.29,  2.29, 18.99, 41.20, 47.90, 47.74, 46.54, 45.58
TU\GradualDevelopment,Sum,105.95,105.62,120.42,150.28,159.24,185.03,185.57,185.03
TU\DirectedTransition,Hydro,101.08,101.08,101.08,101.08,101.08,101.08,101.08,101.08
TU\DirectedTransition,PV,  0.00,  0.00,  0.00,  0.00,  0.00,  2.30,  4.61,  4.61
TU\DirectedTransition,Thermal,  2.58,  2.25,  7.41,  7.36,  7.31,  0.21,  0.18,  5.83
TU\DirectedTransition,Wind Offshore Deep,  0.00,  0.00,  0.00,  0.00,  3.74,  3.76, 15.09, 15.20
TU\DirectedTransition,Wind Offshore Transitional,  0.00,  0.00,  0.00,  0.00,  0.00,  1.07,  1.08,  1.08
TU\DirectedTransition,Wind Onshore,  2.29,  2.29, 18.99, 35.38, 35.09, 34.84, 34.84, 29.82
TU\DirectedTransition,Sum,105.95,105.62,127.48,143.81,147.22,143.27,156.88,157.62
