Scenario,Technology,2015,2020,2025,2030,2035,2040,2045,2050
TechnoFriendly,Hydro,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.000
TechnoFriendly,PV, 0.00, 0.00, 0.00, 0.00, 0.00, 1.76, 4.36, 5.200
TechnoFriendly,Thermal, 1.75, 1.61, 1.46, 1.34, 1.28, 1.14, 1.13, 0.083
TechnoFriendly,Wind Offshore Transitional, 0.00, 0.00, 0.00, 0.00, 2.70, 2.70, 2.70, 3.592
TechnoFriendly,Wind Onshore, 1.20, 1.20, 8.16,14.96,14.81,14.68,14.68,12.587
TechnoFriendly,Sum,33.95,33.81,40.62,47.30,49.79,51.28,53.87,52.462
SocietalCommitment,Hydro,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.000
SocietalCommitment,PV, 0.00, 0.00, 0.00, 0.00,10.99,11.66,12.75,17.291
SocietalCommitment,Thermal, 1.75, 1.61, 1.46, 1.34, 1.28, 1.14, 1.13, 0.083
SocietalCommitment,Wind Offshore Deep, 0.00, 0.00, 0.00, 0.00, 0.00, 0.70, 0.70, 0.696
SocietalCommitment,Wind Offshore Transitional, 0.00, 0.00, 0.00, 0.00, 1.09, 1.09, 1.09, 1.088
SocietalCommitment,Wind Onshore, 1.20, 2.70, 9.67,18.44,24.38,25.31,25.31,23.645
SocietalCommitment,Sum,33.95,35.31,42.13,50.78,68.74,70.89,71.98,73.803
GradualDevelopment,Hydro,31.00,31.00,31.00,33.67,33.67,33.67,33.67,33.667
GradualDevelopment,PV, 0.00, 0.00, 0.00, 0.00, 2.60, 7.80, 8.79,10.101
GradualDevelopment,Thermal, 1.75, 1.61, 1.46, 1.34, 1.31, 1.28, 1.13, 1.134
GradualDevelopment,Wind Offshore Deep, 0.00, 0.00, 0.00, 0.00, 0.00, 4.95, 4.95, 4.949
GradualDevelopment,Wind Onshore, 1.20, 1.20, 8.16,18.00,21.49,21.40,20.78,20.379
GradualDevelopment,Sum,33.95,33.81,40.62,53.01,59.07,69.11,69.32,70.230
DirectedTransition,Hydro,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.000
DirectedTransition,PV, 0.00, 0.00, 0.00, 0.00, 0.00, 2.60, 5.20, 5.200
DirectedTransition,Thermal, 1.75, 1.61, 2.31, 2.19, 2.13, 1.99, 1.98, 2.699
DirectedTransition,Wind Offshore Deep, 0.00, 0.00, 0.00, 0.00, 0.00, 0.22, 0.22, 0.216
DirectedTransition,Wind Offshore Transitional, 0.00, 0.00, 0.00, 0.00, 0.87, 0.87, 3.48, 3.477
DirectedTransition,Wind Onshore, 1.20, 1.20, 8.16,14.96,14.81,14.68,14.68,12.587
DirectedTransition,Sum,33.95,33.81,41.47,48.15,48.81,51.35,56.55,55.179
