Scenario,Technology,2015,2020,2025,2030,2035,2040,2045,2050
TechnoFriendly,Hydro,1769.26,1386.26,1086.17, 851.05, 666.82, 522.47, 409.37, 64.15
TechnoFriendly,PV,   0.00,   0.00,   0.00,   0.00,   0.00, 141.84, 127.55, 17.02
TechnoFriendly,Thermal,  55.49,  71.17,   0.00,   0.00,   0.00,  13.53,   1.55,  0.24
TechnoFriendly,Wind Offshore Transitional,   0.00,   0.00,   0.00,   0.00,1861.24, 202.76, 158.87, 97.86
TechnoFriendly,Wind Onshore,   0.00,   0.00,4978.94,4138.61, 539.93, 531.64, 338.76,249.43
TechnoFriendly,Sum,1824.75,1457.43,6065.11,4989.66,3067.99,1412.24,1036.10,428.71
SocietalCommitment,Hydro,1769.26,1386.26,1086.17, 851.05, 666.82, 522.47, 409.37, 64.15
SocietalCommitment,PV,   0.00,   0.00,   0.00,   0.00,1509.06, 154.33, 129.04, 74.88
SocietalCommitment,Thermal,  55.49,  71.17,   0.00,   0.00,   0.00,  13.53,   1.55,  0.24
SocietalCommitment,Wind Offshore Deep,   0.00,   0.00,   0.00,   0.00,   0.00, 345.77,  43.30,  6.78
SocietalCommitment,Wind Offshore Transitional,   0.00,   0.00,   0.00,   0.00, 751.48,  81.87,  64.14, 10.05
SocietalCommitment,Wind Onshore,   0.00,1489.90,5082.73,5260.06,2831.60,1045.73, 732.16,304.62
SocietalCommitment,Sum,1824.75,2947.33,6168.90,6111.10,5758.96,2163.69,1379.56,460.74
GradualDevelopment,Hydro,1769.26,1386.26,1086.17,3083.27, 817.25, 636.84, 501.72, 78.62
GradualDevelopment,PV,   0.00,   0.00,   0.00,   0.00, 368.96, 451.44, 113.99, 30.26
GradualDevelopment,Thermal,  55.49,  71.17,   0.00,   0.00,   0.00,   0.00,   6.65,  0.20
GradualDevelopment,Wind Offshore Deep,   0.00,   0.00,   0.00,   0.00,   0.00,2457.06, 307.66, 48.21
GradualDevelopment,Wind Onshore,   0.00,   0.00,4978.94,5742.27,1910.50, 603.72, 473.03,347.54
GradualDevelopment,Sum,1824.75,1457.43,6065.11,8825.54,3096.72,4149.05,1403.05,504.83
DirectedTransition,Hydro,1769.26,1386.26,1086.17, 851.05, 666.82, 522.47, 409.37, 64.15
DirectedTransition,PV,   0.00,   0.00,   0.00,   0.00,   0.00, 209.00, 134.77,  6.73
DirectedTransition,Thermal,  55.49,  71.17,1334.73, 319.04, 300.79,  59.37,  37.47,  9.93
DirectedTransition,Wind Offshore Deep,   0.00,   0.00,   0.00,   0.00,   0.00, 107.09,  13.41,  2.10
DirectedTransition,Wind Offshore Transitional,   0.00,   0.00,   0.00,   0.00, 602.85,  65.67, 685.61, 27.35
DirectedTransition,Wind Onshore,   0.00,   0.00,4978.94,4138.61, 539.93, 531.64, 338.76,249.43
DirectedTransition,Sum,1824.75,1457.43,7399.84,5308.69,2110.38,1495.24,1619.39,359.69
