Scenario,Technology,2015,2020,2025,2030,2035,2040,2045,2050
TechnoFriendly,Hydro,101.08,101.08,101.08,101.08,101.08,101.08,101.08,101.08
TechnoFriendly,PV,  0.00,  0.00,  0.00,  0.00,  0.00,  1.56,  3.87,  4.61
TechnoFriendly,Thermal,  2.58,  2.25,  0.35,  0.30,  0.25,  0.75,  0.72,  0.15
TechnoFriendly,Wind Offshore Transitional,  0.00,  0.00,  0.00,  0.00, 11.68, 11.89, 12.10, 16.40
TechnoFriendly,Wind Onshore,  2.29,  2.29, 18.99, 35.38, 35.09, 34.84, 34.84, 29.82
TechnoFriendly,Sum,105.95,105.62,120.42,136.75,148.09,150.12,152.60,152.06
SocietalCommitment,Hydro,101.08,101.08,101.08,101.08,101.08,101.08,101.08,101.08
SocietalCommitment,PV,  0.00,  0.00,  0.00,  0.00,  9.73, 10.33, 11.29, 15.32
SocietalCommitment,Thermal,  2.58,  2.25,  0.35,  0.30,  0.25,  0.21,  0.18,  0.15
SocietalCommitment,Wind Offshore Deep,  0.00,  0.00,  0.00,  0.00,  0.00,  3.13,  3.13,  3.13
SocietalCommitment,Wind Offshore Transitional,  0.00,  0.00,  0.00,  0.00,  4.25,  4.25,  4.25,  4.25
SocietalCommitment,Wind Onshore,  2.29,  5.90, 22.60, 42.04, 53.44, 55.23, 55.23, 51.23
SocietalCommitment,Sum,105.95,109.24,124.03,143.42,168.75,174.22,175.16,175.16
GradualDevelopment,Hydro,101.08,101.08,101.08,108.79,108.79,108.30,108.79,108.79
GradualDevelopment,PV,  0.00,  0.00,  0.00,  0.00,  2.30,  6.56,  7.31,  8.30
GradualDevelopment,Thermal,  2.58,  2.25,  0.35,  0.30,  0.25,  0.21,  0.72,  0.15
GradualDevelopment,Wind Offshore Deep,  0.00,  0.00,  0.00,  0.00,  0.00, 22.21, 22.21, 22.21
GradualDevelopment,Wind Onshore,  2.29,  2.29, 18.99, 41.20, 47.90, 47.74, 46.54, 45.58
GradualDevelopment,Sum,105.95,105.62,120.42,150.28,159.24,185.03,185.57,185.03
DirectedTransition,Hydro,101.08,101.08,101.08,101.08,101.08,101.08,101.08,101.08
DirectedTransition,PV,  0.00,  0.00,  0.00,  0.00,  0.00,  2.30,  4.61,  4.61
DirectedTransition,Thermal,  2.58,  2.25,  7.41,  7.36,  7.31,  0.21,  0.18,  5.83
DirectedTransition,Wind Offshore Deep,  0.00,  0.00,  0.00,  0.00,  0.00,  1.07,  1.08,  1.08
DirectedTransition,Wind Offshore Transitional,  0.00,  0.00,  0.00,  0.00,  3.74,  3.76, 15.09, 15.20
DirectedTransition,Wind Onshore,  2.29,  2.29, 18.99, 35.38, 35.09, 34.84, 34.84, 29.82
DirectedTransition,Sum,105.95,105.62,127.48,143.81,147.22,143.27,156.88,157.62
