Region,Category,Technology,Type,Scenario,Year,Value,2025,2030,2035,2040,2045,2050
AT,Power,P_Biomass,ResidualCapacity,GradualDevelopment_globalLimit,1.758,1.654,0.69,0.536,0.389,0.373,0.353,0.333
AT,Power,P_Biomass,TotalCapacity,GradualDevelopment_globalLimit,1.758,1.654,0.69,0.536,0.389,0.373,0.353,0.333
AT,Power,P_Biomass,UnusedCapacity,GradualDevelopment_globalLimit,-0.485641806,-0.485641806,-0.412795535,-0.350876205,-0.298244774,-0.253508058,-0.215481849,-0.183159572
AT,Power,P_Biomass,UnusedPeakCapacity,GradualDevelopment_globalLimit,1.658340136,1.560235828,0.650884354,0.505614512,0.366947846,0.351854875,0.332988662,0.314122449
AT,Power,P_Biomass,UnusedCapacityShare,GradualDevelopment_globalLimit,-0.276246761,-0.29361657,-0.598254399,-0.654619785,-0.766696078,-0.679646268,-0.610430168,-0.550028745
AT,Power,P_Biomass,PotentialUsed,GradualDevelopment_globalLimit,1.758E-06,1.654E-06,6.90001E-07,5.36001E-07,3.89E-07,3.73E-07,3.53E-07,3.33E-07
AT,Power,P_Coal_Hardcoal,ResidualCapacity,GradualDevelopment_globalLimit,0.8144648,0.0664648,0.0114648,0.0114648,0.0114648,0.0114648,0.0114648,0.0114648
AT,Power,P_Coal_Hardcoal,TotalCapacity,GradualDevelopment_globalLimit,0.8144648,0.0664648,0.0114648,0.0114648,0.0114648,0.0114648,0.0114648,0.0114648
AT,Power,P_Coal_Hardcoal,UnusedCapacity,GradualDevelopment_globalLimit,-0.269304921,,,,,,,
AT,Power,P_Coal_Hardcoal,UnusedPeakCapacity,GradualDevelopment_globalLimit,0.768293326,0.0664648,0.0114648,0.0114648,0.0114648,0.0114648,0.0114648,0.0114648
AT,Power,P_Coal_Hardcoal,UnusedCapacityShare,GradualDevelopment_globalLimit,-0.330652622,,,,,,,
AT,Power,P_Coal_Hardcoal,PotentialUsed,GradualDevelopment_globalLimit,8.14466E-07,6.64649E-08,1.14648E-08,1.14648E-08,1.14648E-08,1.14648E-08,1.14648E-08,1.14648E-08
