Region,Category,Emission,Technology,Timeslice,Scenario,Year,Value,2025,2030,2035,2040,2045,2050
AT,Power,CO2,P_Coal_Hardcoal,Emissions,GradualDevelopment_globalLimit,1.785375289,,,,,,,
AT,Power,CO2,P_Gas,Emissions,GradualDevelopment_globalLimit,2.74325131,2.238704567,,1.252106532,,,,
AT,Power,CO2,P_Oil,Emissions,GradualDevelopment_globalLimit,0.424368421,0.358259327,,,,,,
AT,Industry,CO2,HLI_Gas_Boiler,Emissions,GradualDevelopment_globalLimit,3.984488762,4.084440309,4.300257759,4.230056714,4.005523125,2.028870644,,
AT,Industry,CO2,HLI_Hardcoal,Emissions,GradualDevelopment_globalLimit,0.215569685,0.087441747,0.016827978,0.002511118,0.004987359,,,
AT,Industry,CO2,HLI_Oil_Boiler,Emissions,GradualDevelopment_globalLimit,0.600755257,0.380693217,0.004403797,0.008746852,0.01737222,,,
AT,Industry,CO2,HMI_Gas,Emissions,GradualDevelopment_globalLimit,12.9285883,12.82091902,12.66095675,8.663424684,4.769516878,0.827783641,,
AT,Industry,CO2,HMI_HardCoal,Emissions,GradualDevelopment_globalLimit,0.542047759,0.274883487,,,,,,
AT,Industry,CO2,HMI_Oil,Emissions,GradualDevelopment_globalLimit,0.5263293,0.200112385,,,,,,
AT,Industry,CO2,HHI_BF_BOF,Emissions,GradualDevelopment_globalLimit,19.19224159,17.64994894,10.06272628,4.534990224,2.332039726,0.665551673,,
AT,Industry,CO2,HHI_DRI_EAF,Emissions,GradualDevelopment_globalLimit,0.446350331,0.168695854,,,0.072793824,0.024247196,,
AT,Buildings,CO2,HLR_Gas_Boiler,Emissions,GradualDevelopment_globalLimit,11.08788779,7.946751276,7.399463671,5.185095346,3.556154228,2.058906883,,
AT,Buildings,CO2,HLR_Hardcoal,Emissions,GradualDevelopment_globalLimit,0.060342187,0.00768188,,,,,,
AT,Buildings,CO2,HLR_Oil_Boiler,Emissions,GradualDevelopment_globalLimit,3.195259106,0.809644589,,,,,,
AT,Transportation,CO2,FRT_Rail_Conv,Emissions,GradualDevelopment_globalLimit,2.499142439,1.987450839,,,,,,
AT,Transportation,CO2,FRT_Road_ICE,Emissions,GradualDevelopment_globalLimit,40.0211555,38.8611922,28.52401976,17.52971985,0.057509013,,,
AT,Transportation,CO2,FRT_Road_PHEV,Emissions,GradualDevelopment_globalLimit,,,1.817618425,1.789711021,1.497714551,,,
AT,Transportation,CO2,FRT_Ship_Conv,Emissions,GradualDevelopment_globalLimit,0.49616343,0.522317972,0.538278108,0.10058678,0.039399613,0.015409693,,
AT,Transportation,CO2,PSNG_Air_Conv,Emissions,GradualDevelopment_globalLimit,0.306609688,0.291242496,0.263632464,0.202343777,0.193842648,0.000175974,,
AT,Transportation,CO2,PSNG_Rail_Conv,Emissions,GradualDevelopment_globalLimit,0.266569081,0.199418951,,0.042373732,0.020564261,,,
AT,Transportation,CO2,PSNG_Road_ICE,Emissions,GradualDevelopment_globalLimit,9.522965434,8.387668637,5.455286667,3.296135322,0.283958797,0.261860902,,
AT,Transportation,CO2,PSNG_Road_PHEV,Emissions,GradualDevelopment_globalLimit,,,0.152610608,0.142229237,0.128925469,,,
BE,Power,CO2,P_Coal_Hardcoal,Emissions,GradualDevelopment_globalLimit,1.707479547,,,,,,,
BE,Power,CO2,P_Gas,Emissions,GradualDevelopment_globalLimit,8.602933066,7.020656646,1.904129037,7.197695569,0.291331342,,,
BE,Industry,CO2,HLI_Gas_Boiler,Emissions,GradualDevelopment_globalLimit,4.404476391,4.196501617,4.31746045,4.407044022,4.554474836,2.347879308,,
BE,Industry,CO2,HLI_Hardcoal,Emissions,GradualDevelopment_globalLimit,0.203875127,0.082700929,0.015956062,0.002381233,0.004729393,,,
BE,Industry,CO2,HLI_Oil_Boiler,Emissions,GradualDevelopment_globalLimit,0.295651671,0.149936406,0.002168367,0.004306826,0.008553834,,,
BE,Industry,CO2,HMI_Gas,Emissions,GradualDevelopment_globalLimit,24.43004592,29.21529473,34.27511189,31.82751841,18.66117058,15.45672414,,
BE,Industry,CO2,HMI_HardCoal,Emissions,GradualDevelopment_globalLimit,0.311397948,0.278433891,,,,,,
BE,Industry,CO2,HMI_Oil,Emissions,GradualDevelopment_globalLimit,19.03743764,16.25376591,,,,,,
BE,Industry,CO2,HHI_BF_BOF,Emissions,GradualDevelopment_globalLimit,17.16187117,15.33592633,9.565215497,3.807084873,1.592465289,0.500919567,,
BE,Industry,CO2,HHI_DRI_EAF,Emissions,GradualDevelopment_globalLimit,0.791040226,0.581318928,,0.048430132,0.12273278,,,
BE,Buildings,CO2,HLR_Gas_Boiler,Emissions,GradualDevelopment_globalLimit,15.55247253,16.0210606,12.18545805,7.275168298,6.064597293,3.609575722,,
BE,Buildings,CO2,HLR_Hardcoal,Emissions,GradualDevelopment_globalLimit,0.398884053,0.050568721,,,,,,
BE,Buildings,CO2,HLR_Oil_Boiler,Emissions,GradualDevelopment_globalLimit,10.36844885,6.567670764,,,,,,
BE,Transportation,CO2,FRT_Rail_Conv,Emissions,GradualDevelopment_globalLimit,0.582404441,0.466830335,,,,,,
BE,Transportation,CO2,FRT_Road_ICE,Emissions,GradualDevelopment_globalLimit,56.41259857,53.82802055,41.43376623,24.05735021,,,,
BE,Transportation,CO2,FRT_Road_PHEV,Emissions,GradualDevelopment_globalLimit,,0.445335319,3.129100923,3.061883108,2.17762519,,,
BE,Transportation,CO2,FRT_Ship_Conv,Emissions,GradualDevelopment_globalLimit,2.137650036,2.184146913,2.261454687,0.126952174,0.167074082,0.066390094,,
BE,Transportation,CO2,PSNG_Air_Conv,Emissions,GradualDevelopment_globalLimit,0.429680324,0.408144867,0.369452392,0.283562924,0.271649512,0.000246608,,
BE,Transportation,CO2,PSNG_Rail_Conv,Emissions,GradualDevelopment_globalLimit,0.163435888,0.126209592,0.00621121,0.025979427,0.012608237,,,
BE,Transportation,CO2,PSNG_Road_ICE,Emissions,GradualDevelopment_globalLimit,14.82822929,13.07678185,8.503008735,5.141433867,0.446335361,0.400379017,,
BE,Transportation,CO2,PSNG_Road_PHEV,Emissions,GradualDevelopment_globalLimit,,,0.237927333,0.221742272,0.201001054,,,
BG,Power,CO2,P_Coal_Hardcoal,Emissions,GradualDevelopment_globalLimit,0.403122133,0.332924513,0.190358367,0.03702142,,,,
BG,Power,CO2,P_Coal_Lignite,Emissions,GradualDevelopment_globalLimit,14.56266095,11.47445222,6.557719994,1.274786126,,,,
BG,Power,CO2,P_Gas,Emissions,GradualDevelopment_globalLimit,0.519215172,0.423719611,0.619718272,,,,,
BG,Industry,CO2,HLI_Gas_Boiler,Emissions,GradualDevelopment_globalLimit,0.890084581,0.978772644,1.035470932,1.048138004,0.997600046,0.652690581,,
BG,Industry,CO2,HLI_Hardcoal,Emissions,GradualDevelopment_globalLimit,0.0167622,0.00855981,0.00135147,0.000216476,0.000429945,,,
BG,Industry,CO2,HLI_Lignite,Emissions,GradualDevelopment_globalLimit,0.004105739,,,,,,,
BG,Industry,CO2,HLI_Oil_Boiler,Emissions,GradualDevelopment_globalLimit,0.091616289,0.046457477,0.000670629,0.001332008,0.002645516,,,
BG,Industry,CO2,HMI_Gas,Emissions,GradualDevelopment_globalLimit,6.549539073,7.511522375,6.814931161,5.603080438,2.356080256,0.628501712,,
BG,Industry,CO2,HMI_HardCoal,Emissions,GradualDevelopment_globalLimit,3.017081719,0.611598273,,,,,,
BG,Industry,CO2,HMI_Oil,Emissions,GradualDevelopment_globalLimit,0.118049678,0.045054167,,,,,,
BG,Industry,CO2,HHI_BF_BOF,Emissions,GradualDevelopment_globalLimit,1.479248891,1.28190583,0.739386557,0.471055418,0.077440939,0.022690322,,
BG,Industry,CO2,HHI_DRI_EAF,Emissions,GradualDevelopment_globalLimit,0.153305364,0.137694421,0.044071319,0.030066268,0.014567309,,,
BG,Buildings,CO2,HLR_Gas_Boiler,Emissions,GradualDevelopment_globalLimit,3.33072073,3.24200671,1.992245968,1.616086155,1.062732232,0.667172047,,
BG,Buildings,CO2,HLR_Hardcoal,Emissions,GradualDevelopment_globalLimit,0.495451733,0.062815833,,,,,,
BG,Buildings,CO2,HLR_Oil_Boiler,Emissions,GradualDevelopment_globalLimit,0.096307576,0.012214595,,,,,,
BG,Transportation,CO2,FRT_Rail_Conv,Emissions,GradualDevelopment_globalLimit,0.326181775,0.267971498,,,,,,
BG,Transportation,CO2,FRT_Road_ICE,Emissions,GradualDevelopment_globalLimit,17.08425013,16.59903038,12.22893784,7.318183197,,,,
BG,Transportation,CO2,FRT_Road_PHEV,Emissions,GradualDevelopment_globalLimit,,,0.97435307,0.952306031,0.664497781,,,
BG,Transportation,CO2,FRT_Ship_Conv,Emissions,GradualDevelopment_globalLimit,0.222392608,0.214606072,0.238749317,0.037065115,0.017660297,0.006907924,,
BG,Transportation,CO2,PSNG_Air_Conv,Emissions,GradualDevelopment_globalLimit,0.390978947,0.371383192,0.307661451,0.263043017,0.225469742,0.004303221,,
BG,Transportation,CO2,PSNG_Rail_Conv,Emissions,GradualDevelopment_globalLimit,0.106225136,0.077928414,9.61533E-05,0.016885746,0.008195012,,,
BG,Transportation,CO2,PSNG_Road_ICE,Emissions,GradualDevelopment_globalLimit,6.296569175,5.514964615,3.587029952,2.168879868,0.188387393,0.173141781,,
BG,Transportation,CO2,PSNG_Road_PHEV,Emissions,GradualDevelopment_globalLimit,,,0.100342794,0.093516952,0.08476961,,,
CH,Power,CO2,P_Gas,Emissions,GradualDevelopment_globalLimit,0.184394897,0.150480452,0.375482424,0.275158866,0.13662402,,,
CH,Industry,CO2,HLI_Gas_Boiler,Emissions,GradualDevelopment_globalLimit,1.064454836,1.051757576,1.035291148,0.934015652,0.826080046,0.065398975,,
CH,Industry,CO2,HLI_Hardcoal,Emissions,GradualDevelopment_globalLimit,0.002519033,,,,,,,
CH,Industry,CO2,HLI_Oil_Boiler,Emissions,GradualDevelopment_globalLimit,0.207094147,0.105039516,0.001520092,0.003019218,0.005996502,,,
CH,Industry,CO2,HMI_Gas,Emissions,GradualDevelopment_globalLimit,2.231862582,2.223493223,2.217223698,2.135185923,1.425916936,0.8650392,,
CH,Industry,CO2,HMI_HardCoal,Emissions,GradualDevelopment_globalLimit,0.002484558,,,,,,,
CH,Industry,CO2,HMI_Oil,Emissions,GradualDevelopment_globalLimit,0.256786212,0.130242057,,,,,,
CH,Industry,CO2,HHI_BF_BOF,Emissions,GradualDevelopment_globalLimit,2.691309662,2.186836062,1.588389632,0.811318339,0.270310525,0.038845642,,
CH,Industry,CO2,HHI_DRI_EAF,Emissions,GradualDevelopment_globalLimit,0.18284566,0.010946862,0.064200138,0.037306896,0.018070298,,,
CH,Buildings,CO2,HLR_Gas_Boiler,Emissions,GradualDevelopment_globalLimit,11.91350576,11.43745345,8.219105144,6.800927474,2.924439238,1.591949788,,
CH,Buildings,CO2,HLR_Oil_Boiler,Emissions,GradualDevelopment_globalLimit,7.7674544,3.936040742,,,,,,
CH,Transportation,CO2,FRT_Rail_Conv,Emissions,GradualDevelopment_globalLimit,1.021976208,0.812729775,0.182585671,,,,,
CH,Transportation,CO2,FRT_Road_ICE,Emissions,GradualDevelopment_globalLimit,25.14467377,24.02231684,17.59029718,10.71008887,,,,
CH,Transportation,CO2,FRT_Road_PHEV,Emissions,GradualDevelopment_globalLimit,,0.308222379,1.393044066,1.363119375,0.969456698,,,
