Region,Category,Emission,Technology,Timeslice,Scenario,Year,Value,2025,2030,2035,2040,2045,2050
DolAmroth,Power,CO2,P_Coal_Hardcoal,Emissions,MiddleEarth_globalLimit,1.696106524,1.400755233,0.800918734,0.155764885,,,,
DolAmroth,Power,CO2,P_Gas,Emissions,MiddleEarth_globalLimit,,,,,,0.00969036,,0.001152672
DolAmroth,Power,CO2,P_Oil,Emissions,MiddleEarth_globalLimit,0.40315,0.340346361,,,,,,
DolAmroth,Power,CO2,HLI_Gas_CHP,Emissions,MiddleEarth_globalLimit,,,2.728051973,4.929916449,5.095453684,4.912994866,4.701348654,4.487674721
DolAmroth,Industry,CO2,HLI_Gas_Boiler,Emissions,MiddleEarth_globalLimit,5.234675193,5.488101903,3.024482759,0.930232356,0.550504195,0.46289989,0.442053925,0.29840224
DolAmroth,Industry,CO2,HLI_Gas_CHP,Emissions,MiddleEarth_globalLimit,,,2.728051973,4.929916449,5.095453684,4.912994866,4.701348654,4.487674721
DolAmroth,Industry,CO2,HLI_Hardcoal,Emissions,MiddleEarth_globalLimit,0.208510265,0.200521414,0.001314849,0.002611563,0.001296713,0.000521718,0.000110222,
DolAmroth,Industry,CO2,HLI_Oil_Boiler,Emissions,MiddleEarth_globalLimit,0.570717494,0.039592095,0.004576074,0.00908903,0.004516777,0.00179863,0.000361714,
DolAmroth,Industry,CO2,HMI_Gas,Emissions,MiddleEarth_globalLimit,13.35846557,13.19721142,8.454951172,6.236387457,5.838830321,3.796714133,2.252873172,2.049541728
DolAmroth,Industry,CO2,HMI_HardCoal,Emissions,MiddleEarth_globalLimit,0.563729669,0.028587883,0.003305184,0.00656478,0.003265533,,,
DolAmroth,Industry,CO2,HHI_BF_BOF,Emissions,MiddleEarth_globalLimit,19.68575951,16.77820918,15.13959306,13.44914797,4.231238262,2.733017799,0.474125045,
DolAmroth,Industry,CO2,HHI_DRI_EAF,Emissions,MiddleEarth_globalLimit,,,0.036804692,0.039120585,0.018926394,0.00732408,0.031271126,
DolAmroth,Buildings,CO2,HLR_Gas_Boiler,Emissions,MiddleEarth_globalLimit,13.4398737,13.42553228,12.2753193,10.92134732,9.743501458,6.042250837,2.916233713,2.159135214
DolAmroth,Buildings,CO2,HLR_Hardcoal,Emissions,MiddleEarth_globalLimit,0.073089474,0.055924089,0.004624642,0.002769157,0.000916642,0.000188707,4.40889E-05,
DolAmroth,Buildings,CO2,HLR_Oil_Boiler,Emissions,MiddleEarth_globalLimit,3.035496151,0.210507593,0.157119075,0.117355691,0.031401204,0.009524391,0.001891464,
DolAmroth,Transportation,CO2,FRT_Rail_Conv,Emissions,MiddleEarth_globalLimit,0.519821627,0.413389775,0.281619141,0.127343777,0.062401386,0.024456987,,
DolAmroth,Transportation,CO2,FRT_Road_ICE,Emissions,MiddleEarth_globalLimit,8.324400343,8.548919416,7.566790809,4.492290547,1.235348255,0.39653695,,
DolAmroth,Transportation,CO2,FRT_Ship_Conv,Emissions,MiddleEarth_globalLimit,0.103201993,0.108642138,0.124081037,0.110191245,0.078949675,0.049060046,0.037790653,0.035943957
DolAmroth,Transportation,CO2,PSNG_Air_Conv,Emissions,MiddleEarth_globalLimit,0.318874075,0.303285856,0.104190564,0.066002146,0.059586788,0.014569004,,
DolAmroth,Transportation,CO2,PSNG_Rail_Conv,Emissions,MiddleEarth_globalLimit,0.277231844,0.207395709,0.100559658,0.066103021,0.032080246,0.01244789,,
DolAmroth,Transportation,CO2,PSNG_Road_ICE,Emissions,MiddleEarth_globalLimit,9.903884051,9.221011402,7.8095921,4.185716529,1.428019714,0.665563655,0.24415252,0.231401808
DolAmroth,Transportation,CO2,PSNG_Road_PHEV,Emissions,MiddleEarth_globalLimit,,,,0.408927242,0.65740291,0.706345041,0.592953275,0.59764932
Gondor,Power,CO2,P_Coal_Hardcoal,Emissions,MiddleEarth_globalLimit,59.32110202,48.99122955,28.01202711,5.447856308,2.129449488,1.997938556,0.682334797,
Gondor,Power,CO2,P_Coal_Lignite,Emissions,MiddleEarth_globalLimit,97.82228606,77.07775047,44.05040832,8.563166682,2.367036586,2.508992843,,
Gondor,Power,CO2,P_Gas,Emissions,MiddleEarth_globalLimit,,4.550229699,13.50906929,49.22396259,47.37362152,42.30047148,22.89559074,36.28496346
Gondor,Power,CO2,P_Oil,Emissions,MiddleEarth_globalLimit,2.1959214,1.853835685,,,,,,
Gondor,Power,CO2,HLR_Hardcoal_CHP,Emissions,MiddleEarth_globalLimit,20.31641806,17.15147947,12.61637073,3.521939756,0.339363471,0.112609228,0.013392263,
Gondor,Power,CO2,HLR_Lignite_CHP,Emissions,MiddleEarth_globalLimit,5.942709677,6.591630969,3.838678725,1.140824325,0.099282872,0.019727119,0.003920751,
Gondor,Power,CO2,HLI_Gas_CHP,Emissions,MiddleEarth_globalLimit,,3.067943696,21.16890862,21.14699948,22.72435775,21.97883351,21.29168047,19.54242432
Gondor,Industry,CO2,HLI_Gas_Boiler,Emissions,MiddleEarth_globalLimit,27.91194216,22.80442967,5.708187225,4.674175459,2.229209252,1.701683955,1.38300306,1.608015349
Gondor,Industry,CO2,HLI_Gas_CHP,Emissions,MiddleEarth_globalLimit,,3.067943696,21.16890862,21.14699948,22.72435775,21.97883351,21.29168047,19.54242432
Gondor,Industry,CO2,HLI_Hardcoal,Emissions,MiddleEarth_globalLimit,1.477025999,1.499109738,0.002454716,0.004875574,0.009683431,0.003850982,0.000769436,
Gondor,Industry,CO2,HLI_Lignite,Emissions,MiddleEarth_globalLimit,0.093364002,0.095031435,0.000156799,0.000311436,0.000618546,0.000250702,4.97873E-05,
Gondor,Industry,CO2,HLI_Oil_Boiler,Emissions,MiddleEarth_globalLimit,0.822358302,0.180990589,0.001741773,0.003459521,0.006870992,0.002729177,0.000541992,
Gondor,Industry,CO2,HMI_Gas,Emissions,MiddleEarth_globalLimit,134.6961794,134.6609538,37.3692903,29.71708595,18.24469494,3.617312186,1.012980196,2.011591879
Gondor,Industry,CO2,HMI_HardCoal,Emissions,MiddleEarth_globalLimit,24.31926877,12.28796675,,,,,,
Gondor,Industry,CO2,HHI_BF_BOF,Emissions,MiddleEarth_globalLimit,117.1071029,109.0893859,98.41513577,35.56902167,13.5134116,4.075673542,0.206940845,
Gondor,Industry,CO2,HHI_DRI_EAF,Emissions,MiddleEarth_globalLimit,,,0.598540892,0.347738904,0.168240668,0.130147818,0.012576049,
Gondor,Industry,CO2,HHI_BF_BOF_CCS,Emissions,MiddleEarth_globalLimit,,,0.061001039,6.426404954,7.493950731,6.9673441,6.319180448,0.738392723
Gondor,Industry,CO2,HMI_Gas_CCS,Emissions,MiddleEarth_globalLimit,,,,,0.955209119,4.330406342,5.494002905,1.468294693
Gondor,Industry,CO2,HMI_HardCoal_CCS,Emissions,MiddleEarth_globalLimit,,,25.2964592,25.59489327,23.21160669,16.7955585,12.84729528,
Gondor,Buildings,CO2,HLR_Gas_Boiler,Emissions,MiddleEarth_globalLimit,126.731538,123.3818104,132.971635,123.4270144,111.2964111,104.4428229,76.95269634,69.40171914
Gondor,Buildings,CO2,HLR_Hardcoal,Emissions,MiddleEarth_globalLimit,3.1490448,3.057891834,0.05333837,0.105941038,0.052614492,0.010449312,0.002075145,
Gondor,Buildings,CO2,HLR_Hardcoal_CHP,Emissions,MiddleEarth_globalLimit,20.31641806,17.15147947,12.61637073,3.521939756,0.339363471,0.112609228,0.013392263,
Gondor,Buildings,CO2,HLR_Lignite_CHP,Emissions,MiddleEarth_globalLimit,5.942709677,6.591630969,3.838678725,1.140824325,0.099282872,0.019727119,0.003920751,
Gondor,Buildings,CO2,HLR_Oil_Boiler,Emissions,MiddleEarth_globalLimit,51.2545714,31.23402379,0.795177677,1.579387387,0.651901382,0.170019725,0.033770857,
Gondor,Transportation,CO2,FRT_Rail_Conv,Emissions,MiddleEarth_globalLimit,2.872168962,2.322401828,1.838018245,2.127377915,1.837932851,1.752729934,1.339316316,1.311683742
Gondor,Transportation,CO2,FRT_Road_ICE,Emissions,MiddleEarth_globalLimit,103.2144891,106.5978457,94.67767179,55.87104334,15.28568847,4.916656959,,1.16515E-14
Gondor,Transportation,CO2,FRT_Ship_Conv,Emissions,MiddleEarth_globalLimit,2.842198693,2.85602015,3.271020265,3.244777159,2.766318023,1.758124414,0.940368384,1.023219657
Gondor,Transportation,CO2,PSNG_Air_Conv,Emissions,MiddleEarth_globalLimit,5.937015811,5.646783671,1.553158348,1.439642339,1.120764048,0.271259767,,
Gondor,Transportation,CO2,PSNG_Rail_Conv,Emissions,MiddleEarth_globalLimit,1.742071132,1.270536766,0.712854495,0.415375762,0.201584686,0.090167611,,
Gondor,Transportation,CO2,PSNG_Road_ICE,Emissions,MiddleEarth_globalLimit,117.467905,108.8041661,92.23420858,49.44703573,23.41899388,7.951481816,2.950337472,2.796257953
Gondor,Transportation,CO2,PSNG_Road_PHEV,Emissions,MiddleEarth_globalLimit,,,,4.936036137,5.168474226,9.987075281,8.396500828,8.450102641
Rohan,Power,CO2,P_Coal_Hardcoal,Emissions,MiddleEarth_globalLimit,6.785704249,5.604076513,3.204278494,0.760020141,0.038322101,0.002953123,,
Rohan,Power,CO2,P_Gas,Emissions,MiddleEarth_globalLimit,1.259443926,1.027803344,1.697954208,28.17827157,48.48793684,45.88522997,39.51355254,32.96193561
Rohan,Power,CO2,P_Oil,Emissions,MiddleEarth_globalLimit,8.658658947,7.30979303,0.826454369,1.641509368,2.026992172,0.243405818,,
Rohan,Power,CO2,HLR_Gas_CHP,Emissions,MiddleEarth_globalLimit,,,,8.270777977,7.39451805,6.877996757,6.365429781,5.855416874
Rohan,Power,CO2,HLI_Gas_CHP,Emissions,MiddleEarth_globalLimit,,,8.880129821,13.33320589,15.23045821,14.9072195,14.54297276,14.07876618
Rohan,Industry,CO2,HLI_Gas_Boiler,Emissions,MiddleEarth_globalLimit,15.07524946,14.95890953,7.482937497,2.928854476,1.000417654,1.557510069,2.144605567,1.685995752
Rohan,Industry,CO2,HLI_Gas_CHP,Emissions,MiddleEarth_globalLimit,,,8.880129821,13.33320589,15.23045821,14.9072195,14.54297276,14.07876618
Rohan,Industry,CO2,HLI_Hardcoal,Emissions,MiddleEarth_globalLimit,0.752614972,0.672961667,0.001102293,0.002189381,0.004348354,0.001727178,0.000344974,
Rohan,Industry,CO2,HLI_Oil_Boiler,Emissions,MiddleEarth_globalLimit,2.2152086,1.39792694,0.003965597,0.007876496,0.015643596,0.006216395,0.001239914,
Rohan,Industry,CO2,HMI_Gas,Emissions,MiddleEarth_globalLimit,52.64195461,57.40424849,30.07834124,27.18382598,24.71772607,16.48643873,10.23055926,9.028222181
Rohan,Industry,CO2,HMI_HardCoal,Emissions,MiddleEarth_globalLimit,9.797879712,2.234229903,0.057324595,0.113858505,0.056533911,,,
Rohan,Industry,CO2,HHI_BF_BOF,Emissions,MiddleEarth_globalLimit,38.67877083,26.35023407,21.41904385,16.65675964,8.129674013,5.202382883,1.588943508,0.042040793
Rohan,Industry,CO2,HHI_DRI_EAF,Emissions,MiddleEarth_globalLimit,,,,0.18352431,0.156701202,0.080820971,0.011717993,
Rohan,Buildings,CO2,HLR_Gas_Boiler,Emissions,MiddleEarth_globalLimit,79.66436162,83.10425489,84.42730261,70.29888146,66.71462164,62.36580519,51.2801629,44.72455555
Rohan,Buildings,CO2,HLR_Gas_CHP,Emissions,MiddleEarth_globalLimit,,,,8.270777977,7.39451805,6.877996757,6.365429781,5.855416874
Rohan,Buildings,CO2,HLR_Hardcoal,Emissions,MiddleEarth_globalLimit,0.233709931,0.210436005,0.01119017,0.006683903,0.003318744,0.000665063,0.00013799,
Rohan,Buildings,CO2,HLR_Oil_Boiler,Emissions,MiddleEarth_globalLimit,22.02976137,12.15300459,0.903535384,0.489152168,0.181194624,0.061783906,0.012271109,
Rohan,Transportation,CO2,FRT_Rail_Conv,Emissions,MiddleEarth_globalLimit,1.146575401,0.91050947,1.177821145,0.775717533,0.56164063,0.408589497,0.203629464,0.199428211
Rohan,Transportation,CO2,FRT_Road_ICE,Emissions,MiddleEarth_globalLimit,69.80344693,72.37541942,63.68786183,37.86625446,10.50313091,3.325109607,,
Rohan,Transportation,CO2,FRT_Ship_Conv,Emissions,MiddleEarth_globalLimit,0.600522125,0.613178495,0.669402449,0.611770204,0.426982253,0.260907606,0.192256907,0.136895433
Rohan,Transportation,CO2,PSNG_Air_Conv,Emissions,MiddleEarth_globalLimit,4.613388968,4.387862577,1.193294502,1.165991678,0.8433623,0.210784688,,
Rohan,Transportation,CO2,PSNG_Rail_Conv,Emissions,MiddleEarth_globalLimit,1.654504402,1.219577708,0.965997484,0.591745029,0.2806795,0.111430257,,
Rohan,Transportation,CO2,PSNG_Road_ICE,Emissions,MiddleEarth_globalLimit,89.1562771,82.54573359,69.94717913,37.59176696,17.81480901,6.01825348,2.223308428,2.107197543
Rohan,Transportation,CO2,PSNG_Road_PHEV,Emissions,MiddleEarth_globalLimit,,,,3.701258127,3.994424963,7.661036628,6.438506942,6.313681075
Harad,Power,CO2,P_Coal_Hardcoal,Emissions,MiddleEarth_globalLimit,24.84783277,20.52095861,11.7333991,2.281943826,0.121846071,0.237049471,0.470760218,0.113338339
Harad,Power,CO2,P_Gas,Emissions,MiddleEarth_globalLimit,1.025078374,0.836542984,7.705656733,22.26813551,34.64053986,40.59826914,31.95938293,29.44199231
Harad,Power,CO2,P_Oil,Emissions,MiddleEarth_globalLimit,5.80483224,4.900542048,,,,,,
