Region,Category,Technology,Mode,Fuel,Timeslice,Type,Unit,Scenario,2015,2020,2025,2030,2035,2040,2045,2050
DolAmroth,Power,P_Coal_Hardcoal,1,Hardcoal,8,Use,PJ,MiddleEarth_globalLimit,,-0.419703452,-0.3027995,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Hardcoal,252,Use,PJ,MiddleEarth_globalLimit,-1.44013308,-0.419703452,-0.3027995,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Hardcoal,496,Use,PJ,MiddleEarth_globalLimit,,-0.419703452,-0.3027995,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Hardcoal,740,Use,PJ,MiddleEarth_globalLimit,,-0.419703452,,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Hardcoal,984,Use,PJ,MiddleEarth_globalLimit,,-0.419703452,,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Hardcoal,1228,Use,PJ,MiddleEarth_globalLimit,-1.648911136,-0.419703452,-0.3027995,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Hardcoal,1472,Use,PJ,MiddleEarth_globalLimit,,-0.419703452,-0.3027995,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Hardcoal,1716,Use,PJ,MiddleEarth_globalLimit,-1.648911136,-0.419703452,-0.290784901,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Hardcoal,1960,Use,PJ,MiddleEarth_globalLimit,,-0.419703452,-0.3027995,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Hardcoal,2204,Use,PJ,MiddleEarth_globalLimit,,-0.117516966,-0.3027995,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Hardcoal,2448,Use,PJ,MiddleEarth_globalLimit,-1.648911136,-0.419703452,,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Hardcoal,2692,Use,PJ,MiddleEarth_globalLimit,,-0.419703452,,,,,,
DolAmroth,Power,P_Coal_Hardcoal,1,Hardcoal,2936,Use,PJ,MiddleEarth_globalLimit,,-0.419703452,-0.3027995,,,,,
