Region,Category,Technology,Type,Scenario,Year,Value,2025,2030,2035,2040,2045,2050
DolAmroth,Power,P_Biomass,ResidualCapacity,MiddleEarth_globalLimit,1.82832,1.72016,0.7176,0.55744,0.40456,0.38792,0.36712,0.34632
DolAmroth,Power,P_Biomass,TotalCapacity,MiddleEarth_globalLimit,1.82832,1.72016,0.7176,0.55744,0.40456,0.38792,0.36712,0.34632
DolAmroth,Power,P_Coal_Hardcoal,NewCapacity,MiddleEarth_globalLimit,,0.152778367,,,,,,
DolAmroth,Power,P_Coal_Hardcoal,ResidualCapacity,MiddleEarth_globalLimit,0.847043392,0.069123392,0.011923392,0.011923392,0.011923392,0.011923392,0.011923392,0.011923392
DolAmroth,Power,P_Coal_Hardcoal,TotalCapacity,MiddleEarth_globalLimit,0.847043392,0.221901759,0.164701759,0.164701759,0.164701759,0.164701759,0.164701759,0.164701759
DolAmroth,Power,P_Gas,ResidualCapacity,MiddleEarth_globalLimit,5.32387752,4.390122292,4.313170721,4.192703914,3.671292743,3.154278003,1.942388073,0.015515607
DolAmroth,Power,P_Gas,TotalCapacity,MiddleEarth_globalLimit,5.32387752,4.390122292,4.313170721,4.192703914,3.671292743,3.154278003,1.942388073,0.015515607
DolAmroth,Power,P_Oil,ResidualCapacity,MiddleEarth_globalLimit,1.23507904,0.738604054,0.222095071,0.109689649,0.002069073,0.001191392,,
DolAmroth,Power,P_Oil,TotalCapacity,MiddleEarth_globalLimit,1.23507904,0.738604054,0.222095071,0.109689649,0.002069073,0.001191392,,
DolAmroth,Power,RES_Hydro_Large,NewCapacity,MiddleEarth_globalLimit,,,,,,,2.96036,
DolAmroth,Power,RES_Hydro_Large,ResidualCapacity,MiddleEarth_globalLimit,8.15984,20.62864268,15.16423334,15.16423334,9.9099936,9.9099936,4.85784,4.85784
DolAmroth,Power,RES_Hydro_Large,TotalCapacity,MiddleEarth_globalLimit,8.15984,20.62864268,15.16423334,15.16423334,9.9099936,9.9099936,7.8182,7.8182
DolAmroth,Power,RES_Hydro_Small,ResidualCapacity,MiddleEarth_globalLimit,6.25456,6.25456,6.25456,6.25456,6.25456,6.25456,6.25456,6.25456
DolAmroth,Power,RES_Hydro_Small,TotalCapacity,MiddleEarth_globalLimit,6.25456,6.25456,6.25456,6.25456,6.25456,6.25456,6.25456,6.25456
DolAmroth,Power,RES_PV_Utility_Avg,NewCapacity,MiddleEarth_globalLimit,,,,,,0.5937415,,
DolAmroth,Power,RES_PV_Utility_Avg,ResidualCapacity,MiddleEarth_globalLimit,1.019381669,1.001777018,0.966808874,0.960056405,0.731316516,,,
DolAmroth,Power,RES_PV_Utility_Avg,TotalCapacity,MiddleEarth_globalLimit,1.019381669,1.001777018,0.966808874,0.960056405,0.731316516,0.5937415,0.5937415,0.5937415
DolAmroth,Power,RES_PV_Utility_Opt,NewCapacity,MiddleEarth_globalLimit,,,0.877652424,5.643237289,6.520889714,,,0.877652424
DolAmroth,Power,RES_PV_Utility_Opt,TotalCapacity,MiddleEarth_globalLimit,,,0.877652424,6.520889714,13.04177943,13.04177943,13.04177943,13.04177943
DolAmroth,Power,RES_Wind_Onshore_Avg,NewCapacity,MiddleEarth_globalLimit,,,,0.657136695,,0.990985756,,
DolAmroth,Power,RES_Wind_Onshore_Avg,ResidualCapacity,MiddleEarth_globalLimit,2.677519031,2.638878175,2.508983462,1.475499247,1.29565588,,,
DolAmroth,Power,RES_Wind_Onshore_Avg,TotalCapacity,MiddleEarth_globalLimit,2.677519031,2.638878175,2.508983462,2.132635943,1.952792575,1.648122451,1.648122451,1.648122451
DolAmroth,Power,RES_Wind_Onshore_Opt,NewCapacity,MiddleEarth_globalLimit,,,0.460491684,,3.827798547,1.371532791,2.155408237,6.467250622
DolAmroth,Power,RES_Wind_Onshore_Opt,TotalCapacity,MiddleEarth_globalLimit,,,0.460491684,0.460491684,4.288290231,5.659823022,7.815231259,13.8219902
DolAmroth,Power,HLI_Gas_CHP,NewCapacity,MiddleEarth_globalLimit,,,1.607412245,0.891907109,0.270666332,,,
DolAmroth,Power,HLI_Gas_CHP,TotalCapacity,MiddleEarth_globalLimit,,,1.607412245,2.499319354,2.769985686,2.769985686,2.769985686,2.769985686
DolAmroth,Industry,HLI_Gas_Boiler,NewCapacity,MiddleEarth_globalLimit,,,,,0.905499848,0.428479533,0.229724528,
DolAmroth,Industry,HLI_Gas_Boiler,ResidualCapacity,MiddleEarth_globalLimit,6.255288,5.629832,4.363216,2.617992,1.309048,0.52364,0.104728,
