Region,Category,Emission,Technology,Timeslice,Scenario,Year,Value,2025,2030,2035,2040,2045,2050
DolAmroth,Power,CO2,P_Coal_Hardcoal,Emissions,MiddleEarth_globalLimit,1.696106524,1.400755233,0.800918734,0.155764885,,,,
DolAmroth,Power,CO2,P_Oil,Emissions,MiddleEarth_globalLimit,0.40315,0.340346361,,,,,,
DolAmroth,Power,CO2,HLI_Gas_CHP,Emissions,MiddleEarth_globalLimit,,,3.288776649,4.26081656,4.368108124,4.328706902,4.082299369,3.765581589
DolAmroth,Industry,CO2,HLI_Gas_Boiler,Emissions,MiddleEarth_globalLimit,4.634575274,4.641064182,1.899742431,0.930232356,0.607805975,0.394093808,0.409152771,0.250843859
DolAmroth,Industry,CO2,HLI_Gas_CHP,Emissions,MiddleEarth_globalLimit,,,3.288776649,4.26081656,4.368108124,4.328706902,4.082299369,3.765581589
DolAmroth,Industry,CO2,HLI_Hardcoal,Emissions,MiddleEarth_globalLimit,0.163537463,0.200521414,0.001314849,0.002611563,0.001296713,0.000521718,0.000110222,
DolAmroth,Industry,CO2,HLI_Oil_Boiler,Emissions,MiddleEarth_globalLimit,0.570717494,0.356328851,0.004576074,0.00908903,0.004516777,0.00179863,0.000361714,
DolAmroth,Industry,CO2,HMI_Gas,Emissions,MiddleEarth_globalLimit,13.35846557,11.01564469,3.340926771,2.948186335,1.528136661,0.570071083,0.368614387,0.195823106
DolAmroth,Industry,CO2,HMI_HardCoal,Emissions,MiddleEarth_globalLimit,0.563729669,0.50429025,0.000827801,0.001644184,0.003265533,,,
DolAmroth,Industry,CO2,HHI_BF_BOF,Emissions,MiddleEarth_globalLimit,19.68575951,16.59013024,14.96048496,13.26852709,4.194084624,2.696629371,0.45072006,
DolAmroth,Industry,CO2,HHI_DRI_EAF,Emissions,MiddleEarth_globalLimit,,,0.032737419,0.039120585,0.018926394,0.00732408,0.001421415,
DolAmroth,Buildings,CO2,HLR_Gas_Boiler,Emissions,MiddleEarth_globalLimit,13.27501991,12.82729444,12.16454029,10.83312812,9.640169945,6.012762256,2.849864908,1.88691151
DolAmroth,Buildings,CO2,HLR_Hardcoal,Emissions,MiddleEarth_globalLimit,0.057325077,0.070464352,0.004624642,0.002769157,0.000916642,0.000188707,4.40889E-05,
DolAmroth,Buildings,CO2,HLR_Oil_Boiler,Emissions,MiddleEarth_globalLimit,3.035496151,0.878218405,0.16142127,0.091474714,0.02745469,0.009524391,0.001891464,
DolAmroth,Transportation,CO2,FRT_Rail_Conv,Emissions,MiddleEarth_globalLimit,0.519821627,0.413389775,0.281619141,0.127343777,0.062401386,0.024456987,,
DolAmroth,Transportation,CO2,FRT_Road_ICE,Emissions,MiddleEarth_globalLimit,8.324400343,8.548919416,7.566790809,4.492290547,1.235348254,0.39653695,,
DolAmroth,Transportation,CO2,FRT_Ship_Conv,Emissions,MiddleEarth_globalLimit,0.103201993,0.108642138,0.124081037,0.110191245,0.063135656,0.037537298,0.028354233,0.027449467
DolAmroth,Transportation,CO2,PSNG_Air_Conv,Emissions,MiddleEarth_globalLimit,0.318874075,0.303285856,0.061097319,0.024006022,0.027555796,0.005707661,,
