Region,Category,Technology,Type,Scenario,Year,Value,2025,2030,2035,2040,2045,2050
AT,Power,P_Biomass,ResidualCapacity,DirectedTransition_globalLimit,1.758,1.654,0.69,0.536,0.389,0.373,0.353,0.333
AT,Power,P_Biomass,TotalCapacity,DirectedTransition_globalLimit,1.758,1.654,0.69,0.536,0.389,0.373,0.353,0.333
AT,Power,P_Coal_Hardcoal,ResidualCapacity,DirectedTransition_globalLimit,0.8144648,0.0664648,0.0114648,0.0114648,0.0114648,0.0114648,0.0114648,0.0114648
AT,Power,P_Coal_Hardcoal,TotalCapacity,DirectedTransition_globalLimit,0.8144648,0.0664648,0.0114648,0.0114648,0.0114648,0.0114648,0.0114648,0.0114648
AT,Power,P_Gas,ResidualCapacity,DirectedTransition_globalLimit,5.119113,4.221271435,4.14727954,4.031446071,3.530089176,3.032959618,1.86768084,0.014918853
AT,Power,P_Gas,TotalCapacity,DirectedTransition_globalLimit,5.119113,4.221271435,4.14727954,4.031446071,3.530089176,3.032959618,1.86768084,0.014918853
AT,Power,P_Oil,ResidualCapacity,DirectedTransition_globalLimit,1.187576,0.710196206,0.213552953,0.105470817,0.001989494,0.001145569,,
AT,Power,P_Oil,TotalCapacity,DirectedTransition_globalLimit,1.187576,0.710196206,0.213552953,0.105470817,0.001989494,0.001145569,,
AT,Power,RES_Hydro_Large,NewCapacity,DirectedTransition_globalLimit,,3.1472,,,,,,
AT,Power,RES_Hydro_Large,ResidualCapacity,DirectedTransition_globalLimit,7.846,4.671,4.671,4.671,4.671,4.671,4.671,4.671
AT,Power,RES_Hydro_Large,TotalCapacity,DirectedTransition_globalLimit,7.846,7.8182,7.8182,7.8182,7.8182,7.8182,7.8182,7.8182
AT,Power,RES_Hydro_Small,ResidualCapacity,DirectedTransition_globalLimit,6.014,6.014,6.014,6.014,6.014,6.014,6.014,6.014
AT,Power,RES_Hydro_Small,TotalCapacity,DirectedTransition_globalLimit,6.014,6.014,6.014,6.014,6.014,6.014,6.014,6.014
AT,Power,RES_PV_Utility_Avg,NewCapacity,DirectedTransition_globalLimit,,,,,4.296814796,6.520889714,2.224074918,
AT,Power,RES_PV_Utility_Avg,ResidualCapacity,DirectedTransition_globalLimit,0.980174682,0.963247132,0.929623918,0.923131159,0.703188957,,,
AT,Power,RES_PV_Utility_Avg,TotalCapacity,DirectedTransition_globalLimit,0.980174682,0.963247132,0.929623918,0.923131159,5.000003753,10.81770451,13.04177943,13.04177943
AT,Power,RES_PV_Utility_Inf,NewCapacity,DirectedTransition_globalLimit,,,,,,,,0.343108266
AT,Power,RES_PV_Utility_Inf,TotalCapacity,DirectedTransition_globalLimit,,,,,,,,0.343108266
AT,Power,RES_PV_Utility_Opt,NewCapacity,DirectedTransition_globalLimit,,,6.520889714,6.520889714,,,,6.520889714
AT,Power,RES_PV_Utility_Opt,TotalCapacity,DirectedTransition_globalLimit,,,6.520889714,13.04177943,13.04177943,13.04177943,13.04177943,13.04177943
AT,Power,RES_Wind_Onshore_Avg,NewCapacity,DirectedTransition_globalLimit,,,,8.308267391,,,,
AT,Power,RES_Wind_Onshore_Avg,ResidualCapacity,DirectedTransition_globalLimit,2.57453753,2.537382861,2.412484098,1.418749276,1.245822961,,,
AT,Power,RES_Wind_Onshore_Avg,TotalCapacity,DirectedTransition_globalLimit,2.57453753,2.537382861,2.412484098,9.727016667,9.554090352,8.308267391,8.308267391,8.308267391
AT,Power,RES_Wind_Onshore_Opt,NewCapacity,DirectedTransition_globalLimit,,3.970270829,9.923333333,5.953062505,,,3.970270829,9.923333333
AT,Power,RES_Wind_Onshore_Opt,TotalCapacity,DirectedTransition_globalLimit,,3.970270829,13.89360416,19.84666667,19.84666667,19.84666667,19.84666667,19.84666667
AT,Industry,HLI_Gas_Boiler,NewCapacity,DirectedTransition_globalLimit,,,0.275871678,,,,,
AT,Industry,HLI_Gas_Boiler,ResidualCapacity,DirectedTransition_globalLimit,6.0147,5.4133,4.1954,2.5173,1.2587,0.5035,0.1007,
AT,Industry,HLI_Gas_Boiler,TotalCapacity,DirectedTransition_globalLimit,6.0147,5.4133,4.471271678,2.793171678,1.534571678,0.779371678,0.376571678,0.275871678
AT,Industry,HLI_Biomass,NewCapacity,DirectedTransition_globalLimit,,,,0.197533519,0.102739972,0.005227051,,
AT,Industry,HLI_Biomass,ResidualCapacity,DirectedTransition_globalLimit,0.9035,0.8132,0.6303,0.3782,0.1891,0.0757,0.0152,
AT,Industry,HLI_Biomass,TotalCapacity,DirectedTransition_globalLimit,0.9035,0.8132,0.6303,0.575733519,0.489373491,0.381200542,0.320700542,0.305500542
AT,Industry,HLI_Hardcoal,ResidualCapacity,DirectedTransition_globalLimit,0.0553,0.0498,0.0386,0.0232,0.0116,0.0047,0.001,
AT,Industry,HLI_Hardcoal,TotalCapacity,DirectedTransition_globalLimit,0.0553,0.0498,0.0386,0.0232,0.0116,0.0047,0.001,
AT,Industry,HLI_Direct_Electric,NewCapacity,DirectedTransition_globalLimit,,0.090597707,0.117316735,1.196374056,0.070120811,,,
AT,Industry,HLI_Direct_Electric,ResidualCapacity,DirectedTransition_globalLimit,0.0439,0.0396,0.0307,0.0185,0.0093,0.0038,0.0008,
AT,Industry,HLI_Direct_Electric,TotalCapacity,DirectedTransition_globalLimit,0.0439,0.130197707,0.238614442,1.422788498,1.483709309,1.478209309,1.475209309,1.383811602
AT,Industry,HLI_Oil_Boiler,ResidualCapacity,DirectedTransition_globalLimit,0.2818,0.2537,0.1967,0.1181,0.0591,0.0237,0.0048,
AT,Industry,HLI_Oil_Boiler,TotalCapacity,DirectedTransition_globalLimit,0.2818,0.2537,0.1967,0.1181,0.0591,0.0237,0.0048,
AT,Industry,HMI_Gas,ResidualCapacity,DirectedTransition_globalLimit,17.0363,15.3327,11.8829,7.1298,3.5649,1.426,0.2852,
AT,Industry,HMI_Gas,TotalCapacity,DirectedTransition_globalLimit,17.0363,15.3327,11.8829,7.1298,3.5649,1.426,0.2852,
AT,Industry,HMI_Biomass,NewCapacity,DirectedTransition_globalLimit,,,,0.393466568,0.241570023,,,
AT,Industry,HMI_Biomass,ResidualCapacity,DirectedTransition_globalLimit,0.9128,0.8216,0.6368,0.3821,0.1911,0.0765,0.0153,
AT,Industry,HMI_Biomass,TotalCapacity,DirectedTransition_globalLimit,0.9128,0.8216,0.6368,0.775566568,0.826136591,0.711536591,0.650336591,0.635036591
AT,Industry,HMI_HardCoal,ResidualCapacity,DirectedTransition_globalLimit,0.1309,0.1179,0.0914,0.0549,0.0275,0.011,0.0022,
AT,Industry,HMI_HardCoal,TotalCapacity,DirectedTransition_globalLimit,0.1309,0.1179,0.0914,0.0549,0.0275,0.011,0.0022,
AT,Industry,HMI_Steam_Electric,NewCapacity,DirectedTransition_globalLimit,,0.107813586,0.889051645,9.49621672,,,,
AT,Industry,HMI_Steam_Electric,ResidualCapacity,DirectedTransition_globalLimit,0.0111,0.01,0.0078,0.0047,0.0024,0.001,,
AT,Industry,HMI_Steam_Electric,TotalCapacity,DirectedTransition_globalLimit,0.0111,0.117813586,1.004665231,10.49778195,10.49548195,10.49408195,10.49308195,10.49308195
AT,Industry,HMI_Oil,ResidualCapacity,DirectedTransition_globalLimit,0.1732,0.1559,0.1209,0.0726,0.0363,0.0146,0.003,
