Region,Category,Emission,Technology,Timeslice,Scenario,Year,Value,2025,2030,2035,2040
AT,Power,CO2,P_Coal_Hardcoal,Emissions,SocietalCommitment_globalLimit,1.785375289,,,,,
AT,Power,CO2,P_Gas,Emissions,SocietalCommitment_globalLimit,2.74325131,2.25403816,0.668236875,0.639096042,0.559617066,
AT,Power,CO2,P_Oil,Emissions,SocietalCommitment_globalLimit,0.424368421,0.360713158,,,,
AT,Industry,CO2,HLI_Gas_Boiler,Emissions,SocietalCommitment_globalLimit,3.984488762,4.167828067,4.170087545,3.9623015,2.703254775,0.138593553
AT,Industry,CO2,HLI_Hardcoal,Emissions,SocietalCommitment_globalLimit,0.215569685,0.088040663,0.008530044,0.005126866,0.002563433,
AT,Industry,CO2,HLI_Oil_Boiler,Emissions,SocietalCommitment_globalLimit,0.600755257,0.306640564,0.029718269,0.017843048,0.008929078,
AT,Industry,CO2,HMI_Gas,Emissions,SocietalCommitment_globalLimit,12.9285883,12.90462923,11.88826574,8.563486862,7.451419762,
AT,Industry,CO2,HMI_HardCoal,Emissions,SocietalCommitment_globalLimit,0.542047759,0.249089626,,,,
AT,Industry,CO2,HMI_Oil,Emissions,SocietalCommitment_globalLimit,0.5263293,0.235063521,,,,
AT,Industry,CO2,HHI_BF_BOF,Emissions,SocietalCommitment_globalLimit,19.19224159,17.68947226,13.62433574,3.547934118,1.686478403,0.031127717
AT,Industry,CO2,HHI_DRI_EAF,Emissions,SocietalCommitment_globalLimit,0.446350331,0.351117748,,,0.037415007,
AT,Buildings,CO2,HLR_Gas_Boiler,Emissions,SocietalCommitment_globalLimit,10.7769589,9.192991725,6.961472574,3.004751885,1.540416412,0.449350217
AT,Buildings,CO2,HLR_Hardcoal,Emissions,SocietalCommitment_globalLimit,0.060342187,0.015468992,0.000906041,0.001812082,0.000906041,
AT,Buildings,CO2,HLR_Oil_Boiler,Emissions,SocietalCommitment_globalLimit,3.195259106,1.268543621,0.011848781,0.023697562,0.047395125,
AT,Transportation,CO2,FRT_Rail_Conv,Emissions,SocietalCommitment_globalLimit,2.499142439,2.718751688,,,,
AT,Transportation,CO2,FRT_Road_ICE,Emissions,SocietalCommitment_globalLimit,40.0211555,38.68852692,29.99821946,16.49441836,,
AT,Transportation,CO2,FRT_Road_PHEV,Emissions,SocietalCommitment_globalLimit,,,,1.656393097,1.395841169,
AT,Transportation,CO2,FRT_Ship_Conv,Emissions,SocietalCommitment_globalLimit,0.49616343,0.911225804,0.673401806,0.078430837,,
AT,Transportation,CO2,PSNG_Air_Conv,Emissions,SocietalCommitment_globalLimit,0.306609688,0.292971229,0.257525508,0.198290227,0.183178556,
AT,Transportation,CO2,PSNG_Rail_Conv,Emissions,SocietalCommitment_globalLimit,0.266569081,0.196482302,,,,
AT,Transportation,CO2,PSNG_Road_ICE,Emissions,SocietalCommitment_globalLimit,9.522965434,8.147313558,5.06963937,2.808491886,,
AT,Transportation,CO2,PSNG_Road_PHEV,Emissions,SocietalCommitment_globalLimit,,0.039470607,0.124356966,0.117964296,0.113499863,
BE,Power,CO2,P_Coal_Hardcoal,Emissions,SocietalCommitment_globalLimit,1.339199644,,,,,
BE,Power,CO2,P_Gas,Emissions,SocietalCommitment_globalLimit,6.747398483,5.54411242,1.543111761,7.633432103,1.878702122,
BE,Industry,CO2,HLI_Gas_Boiler,Emissions,SocietalCommitment_globalLimit,4.391634586,4.144202578,4.204188152,4.164467762,4.173618608,
BE,Industry,CO2,HLI_Hardcoal,Emissions,SocietalCommitment_globalLimit,0.203875127,0.083267374,0.016176146,0.004861683,0.002430842,
BE,Industry,CO2,HLI_Oil_Boiler,Emissions,SocietalCommitment_globalLimit,0.295651671,0.245315473,0.005773907,0.002395876,0.004724372,
BE,Industry,CO2,HMI_Gas,Emissions,SocietalCommitment_globalLimit,24.4552925,30.65818978,34.9294809,30.45610185,11.82272555,2.455572269
BE,Industry,CO2,HMI_HardCoal,Emissions,SocietalCommitment_globalLimit,0.311397948,0.127138763,0.012324197,,,
BE,Industry,CO2,HMI_Oil,Emissions,SocietalCommitment_globalLimit,19.03743764,14.07754808,,,,
BE,Industry,CO2,HHI_BF_BOF,Emissions,SocietalCommitment_globalLimit,17.16187117,15.08592228,12.20361681,3.676354149,1.556526819,0.264869792
BE,Industry,CO2,HHI_DRI_EAF,Emissions,SocietalCommitment_globalLimit,0.791040226,0.65685312,0.202650805,0.028673287,0.119563608,
BE,Buildings,CO2,HLR_Gas_Boiler,Emissions,SocietalCommitment_globalLimit,15.08081729,16.79719006,9.695790284,5.66875186,3.339765735,1.888693111
BE,Buildings,CO2,HLR_Hardcoal,Emissions,SocietalCommitment_globalLimit,0.498967806,0.076372623,0.019734014,0.011844828,0.005922414,
BE,Buildings,CO2,HLR_Oil_Boiler,Emissions,SocietalCommitment_globalLimit,10.36844885,3.38331684,0.153136709,0.306273418,0.153758426,
BE,Transportation,CO2,FRT_Rail_Conv,Emissions,SocietalCommitment_globalLimit,0.582404441,0.470027803,,,,
BE,Transportation,CO2,FRT_Road_ICE,Emissions,SocietalCommitment_globalLimit,56.41259857,54.60008162,39.33099075,23.27813077,,
BE,Transportation,CO2,FRT_Road_PHEV,Emissions,SocietalCommitment_globalLimit,,,2.357701412,2.337623205,1.969913249,
BE,Transportation,CO2,FRT_Ship_Conv,Emissions,SocietalCommitment_globalLimit,2.137650036,2.243533224,2.124272364,0.072901116,,
BE,Transportation,CO2,PSNG_Air_Conv,Emissions,SocietalCommitment_globalLimit,0.429680324,0.410567498,0.360894154,0.277882313,0.256704939,
BE,Transportation,CO2,PSNG_Rail_Conv,Emissions,SocietalCommitment_globalLimit,0.163435888,0.124351026,,,,
BE,Transportation,CO2,PSNG_Road_ICE,Emissions,SocietalCommitment_globalLimit,14.82822929,12.70205664,7.90381344,4.378574943,,
BE,Transportation,CO2,PSNG_Road_PHEV,Emissions,SocietalCommitment_globalLimit,,0.061536589,0.193878536,0.183912054,0.176951787,
BG,Power,CO2,P_Coal_Hardcoal,Emissions,SocietalCommitment_globalLimit,0.403122133,0.335204817,0.192984,0.0377927,,
BG,Power,CO2,P_Coal_Lignite,Emissions,SocietalCommitment_globalLimit,14.56266095,11.55304436,6.648171304,1.30134417,,
BG,Power,CO2,P_Gas,Emissions,SocietalCommitment_globalLimit,0.519215172,0.4266218,0.067283243,,0.059928155,
BG,Industry,CO2,HLI_Gas_Boiler,Emissions,SocietalCommitment_globalLimit,0.890084581,0.990128827,1.006523339,0.985343218,0.500706031,
BG,Industry,CO2,HLI_Hardcoal,Emissions,SocietalCommitment_globalLimit,0.0167622,0.007756595,0.001370111,0.000419873,0.000220986,
BG,Industry,CO2,HLI_Lignite,Emissions,SocietalCommitment_globalLimit,0.004105739,,,,,
BG,Industry,CO2,HLI_Oil_Boiler,Emissions,SocietalCommitment_globalLimit,0.091616289,0.040928719,0.00352892,0.002719516,0.001359758,
BG,Industry,CO2,HMI_Gas,Emissions,SocietalCommitment_globalLimit,6.572666842,7.723971027,5.84568478,5.093614723,4.314331275,0.431480543
BG,Industry,CO2,HMI_HardCoal,Emissions,SocietalCommitment_globalLimit,3.017081719,0.307893651,,,,
BG,Industry,CO2,HMI_Oil,Emissions,SocietalCommitment_globalLimit,0.118049678,0.052923217,,,,
BG,Industry,CO2,HHI_BF_BOF,Emissions,SocietalCommitment_globalLimit,1.479248891,1.124094905,0.566749373,0.21178049,0.074832552,
BG,Industry,CO2,HHI_DRI_EAF,Emissions,SocietalCommitment_globalLimit,0.153305364,0.2079563,0.02130023,0.028287431,0.012759182,
BG,Buildings,CO2,HLR_Gas_Boiler,Emissions,SocietalCommitment_globalLimit,4.089199323,3.965499798,3.528527141,3.01472847,2.412137963,2.027407493
BG,Buildings,CO2,HLR_Hardcoal,Emissions,SocietalCommitment_globalLimit,0.495451733,0.031623039,,,,
BG,Buildings,CO2,HLR_Oil_Boiler,Emissions,SocietalCommitment_globalLimit,0.096307576,0.006149128,,,,
BG,Transportation,CO2,FRT_Rail_Conv,Emissions,SocietalCommitment_globalLimit,0.326181775,0.26980692,,,,
BG,Transportation,CO2,FRT_Road_ICE,Emissions,SocietalCommitment_globalLimit,17.08425013,16.66110092,12.00176972,7.103273007,,
BG,Transportation,CO2,FRT_Road_PHEV,Emissions,SocietalCommitment_globalLimit,,,0.719447664,0.713320841,0.601114915,
BG,Transportation,CO2,FRT_Ship_Conv,Emissions,SocietalCommitment_globalLimit,0.222392608,0.22153244,0.215245618,0.024822801,,
BG,Transportation,CO2,PSNG_Air_Conv,Emissions,SocietalCommitment_globalLimit,0.390978947,0.373587616,0.30049252,0.252853407,0.209782685,
BG,Transportation,CO2,PSNG_Rail_Conv,Emissions,SocietalCommitment_globalLimit,0.106225136,0.076780838,,,,
BG,Transportation,CO2,PSNG_Road_ICE,Emissions,SocietalCommitment_globalLimit,6.296569175,5.356929073,3.333331697,1.846607686,,
BG,Transportation,CO2,PSNG_Road_PHEV,Emissions,SocietalCommitment_globalLimit,,0.025952265,0.08176578,0.077562544,0.074627141,
CH,Power,CO2,P_Gas,Emissions,SocietalCommitment_globalLimit,0.184394897,0.15151114,0.31721791,0.257483731,0.210668507,
CH,Industry,CO2,HLI_Gas_Boiler,Emissions,SocietalCommitment_globalLimit,1.064454836,1.039849995,1.012301423,0.886371157,0.760764878,
CH,Industry,CO2,HLI_Hardcoal,Emissions,SocietalCommitment_globalLimit,0.002519033,,,,,
CH,Industry,CO2,HLI_Oil_Boiler,Emissions,SocietalCommitment_globalLimit,0.207094147,0.132198706,0.004283707,0.006164237,0.003082118,
CH,Industry,CO2,HMI_Gas,Emissions,SocietalCommitment_globalLimit,2.274038749,2.297337599,2.076204351,1.867088927,1.45529507,
CH,Industry,CO2,HMI_HardCoal,Emissions,SocietalCommitment_globalLimit,0.002484558,,,,,
CH,Industry,CO2,HMI_Oil,Emissions,SocietalCommitment_globalLimit,0.256786212,0.098350594,,,,
CH,Industry,CO2,HHI_BF_BOF,Emissions,SocietalCommitment_globalLimit,2.691309662,2.113249813,1.243303826,0.377640918,0.181112846,0.00767186
CH,Industry,CO2,HHI_DRI_EAF,Emissions,SocietalCommitment_globalLimit,0.18284566,0.172088695,0.027585264,0.025671716,0.00928788,0.003634488
CH,Buildings,CO2,HLR_Gas_Boiler,Emissions,SocietalCommitment_globalLimit,11.6547376,13.65408829,5.697111922,3.843098318,2.347352547,1.209569552
CH,Buildings,CO2,HLR_Oil_Boiler,Emissions,SocietalCommitment_globalLimit,7.7674544,1.556844998,0.292622253,0.230358134,0.115186621,
CH,Transportation,CO2,FRT_Rail_Conv,Emissions,SocietalCommitment_globalLimit,1.021976208,1.422423061,,,,
CH,Transportation,CO2,FRT_Road_ICE,Emissions,SocietalCommitment_globalLimit,25.14467377,24.30740382,17.50975908,10.36318826,,
CH,Transportation,CO2,FRT_Road_PHEV,Emissions,SocietalCommitment_globalLimit,,,1.04962481,1.040686196,0.876985444,
CH,Transportation,CO2,FRT_Ship_Conv,Emissions,SocietalCommitment_globalLimit,0.006304284,0.006682061,0.006584116,0.000996547,,
CH,Transportation,CO2,PSNG_Air_Conv,Emissions,SocietalCommitment_globalLimit,0.335929191,0.320986556,0.281901267,0.215500576,0.199234873,
CH,Transportation,CO2,PSNG_Rail_Conv,Emissions,SocietalCommitment_globalLimit,0.324916424,0.239488866,,,,
CH,Transportation,CO2,PSNG_Road_ICE,Emissions,SocietalCommitment_globalLimit,10.20173978,8.728034705,5.430991215,3.008674512,,
CH,Transportation,CO2,PSNG_Road_PHEV,Emissions,SocietalCommitment_globalLimit,,0.042283978,0.133220835,0.126372511,0.121589864,
CZ,Power,CO2,P_Coal_Hardcoal,Emissions,SocietalCommitment_globalLimit,3.422417778,2.845814783,1.638391489,0.320851667,,
CZ,Power,CO2,P_Coal_Lignite,Emissions,SocietalCommitment_globalLimit,24.56827886,19.49083456,11.21595339,2.195463217,,
CZ,Power,CO2,P_Gas,Emissions,SocietalCommitment_globalLimit,1.381684966,1.13528448,0.27363748,1.737345252,1.682218838,
CZ,Industry,CO2,HLI_Gas_Boiler,Emissions,SocietalCommitment_globalLimit,2.402488896,2.483525451,2.459406205,2.337889224,2.227848634,
CZ,Industry,CO2,HLI_Hardcoal,Emissions,SocietalCommitment_globalLimit,0.05847279,0.023866445,0.002320349,0.001392209,0.000707154,
CZ,Industry,CO2,HLI_Lignite,Emissions,SocietalCommitment_globalLimit,0.188118379,0.169389779,0.007455578,0.004482784,0.002241392,
CZ,Industry,CO2,HLI_Oil_Boiler,Emissions,SocietalCommitment_globalLimit,0.099036148,0.031652147,0.004910238,0.002946143,0.001480626,
CZ,Industry,CO2,HMI_Gas,Emissions,SocietalCommitment_globalLimit,11.05404088,12.53141965,13.33154399,11.08032362,5.229209481,
CZ,Industry,CO2,HMI_HardCoal,Emissions,SocietalCommitment_globalLimit,7.296733046,3.722846457,0.061397398,,,
CZ,Industry,CO2,HMI_Oil,Emissions,SocietalCommitment_globalLimit,0.282338451,0.10817273,,,,
CZ,Industry,CO2,HHI_BF_BOF,Emissions,SocietalCommitment_globalLimit,13.70651519,11.88863413,10.80270001,3.187434717,1.483828279,0.1976182
CZ,Industry,CO2,HHI_DRI_EAF,Emissions,SocietalCommitment_globalLimit,0.289884394,0.5667412,0.010114788,,0.031440262,0.009471049
CZ,Buildings,CO2,HLR_Gas_Boiler,Emissions,SocietalCommitment_globalLimit,12.2528654,13.75550618,4.447099467,2.836351883,1.701151441,0.334290526
CZ,Buildings,CO2,HLR_Hardcoal,Emissions,SocietalCommitment_globalLimit,3.544616406,0.412535918,,,,
CZ,Buildings,CO2,HLR_Oil_Boiler,Emissions,SocietalCommitment_globalLimit,0.155361506,0.000288949,0.000577897,0.001155794,0.002311589,
CZ,Transportation,CO2,FRT_Rail_Conv,Emissions,SocietalCommitment_globalLimit,0.92562641,0.754816112,,,,
CZ,Transportation,CO2,FRT_Road_ICE,Emissions,SocietalCommitment_globalLimit,45.91077955,44.81438422,32.28189555,19.10610873,,
CZ,Transportation,CO2,FRT_Road_PHEV,Emissions,SocietalCommitment_globalLimit,,,1.935142473,1.918662782,1.616855627,
CZ,Transportation,CO2,FRT_Ship_Conv,Emissions,SocietalCommitment_globalLimit,0.047582741,0.067983531,0.050240272,0.001779771,,
CZ,Transportation,CO2,PSNG_Air_Conv,Emissions,SocietalCommitment_globalLimit,0.102740397,0.09817035,0.086216527,0.405101232,0.37364937,
CZ,Transportation,CO2,PSNG_Rail_Conv,Emissions,SocietalCommitment_globalLimit,0.284718269,0.210257892,,,,
CZ,Transportation,CO2,PSNG_Road_ICE,Emissions,SocietalCommitment_globalLimit,9.691202395,8.292511549,5.159988347,2.858543645,,
CZ,Transportation,CO2,PSNG_Road_PHEV,Emissions,SocietalCommitment_globalLimit,,0.040174036,0.126573203,0.120066606,0.11552261,
DE,Power,CO2,P_Coal_Hardcoal,Emissions,SocietalCommitment_globalLimit,62.44326528,51.92293254,29.89305253,5.85405612,,
DE,Power,CO2,P_Coal_Lignite,Emissions,SocietalCommitment_globalLimit,102.9708274,81.69018976,47.00842122,9.201648409,,
DE,Power,CO2,P_Gas,Emissions,SocietalCommitment_globalLimit,20.76063683,17.05832326,2.799284924,6.03790337,0.79006451,
DE,Power,CO2,P_Oil,Emissions,SocietalCommitment_globalLimit,2.311496211,1.964771779,,,,
DE,Power,CO2,HLR_Hardcoal_CHP,Emissions,SocietalCommitment_globalLimit,27.80141419,23.63120206,13.9007071,2.780141419,,
DE,Power,CO2,HLR_Lignite_CHP,Emissions,SocietalCommitment_globalLimit,8.132129032,6.912309677,4.066064516,0.813212903,,
DE,Industry,CO2,HLI_Gas_Boiler,Emissions,SocietalCommitment_globalLimit,23.37494998,21.94205358,20.48186035,18.97695331,8.434019109,1.578595372
DE,Industry,CO2,HLI_Hardcoal,Emissions,SocietalCommitment_globalLimit,1.524580538,0.544508518,0.018087671,0.036175343,0.018098721,
DE,Industry,CO2,HLI_Lignite,Emissions,SocietalCommitment_globalLimit,0.096556336,0.086983941,0.001156086,0.002312173,0.001156086,
DE,Industry,CO2,HLI_Oil_Boiler,Emissions,SocietalCommitment_globalLimit,0.865640318,0.27610644,0.01284216,0.02568432,0.01284216,
DE,Industry,CO2,HMI_Gas,Emissions,SocietalCommitment_globalLimit,112.364823,114.8833907,112.4828095,94.31195014,56.61975105,13.75664151
DE,Industry,CO2,HMI_HardCoal,Emissions,SocietalCommitment_globalLimit,22.10842616,18.04769482,,,,
DE,Industry,CO2,HMI_Oil,Emissions,SocietalCommitment_globalLimit,21.35897787,12.2597699,,,,
DE,Industry,CO2,HHI_BF_BOF,Emissions,SocietalCommitment_globalLimit,108.4449948,106.4604299,63.17273484,30.8900028,20.78287978,3.264655575
DE,Industry,CO2,HHI_DRI_EAF,Emissions,SocietalCommitment_globalLimit,3.751380275,,,1.120485096,0.796952769,0.789081677
DE,Buildings,CO2,HLR_Gas_Boiler,Emissions,SocietalCommitment_globalLimit,113.5399935,101.5619594,107.0689061,71.63210745,52.44855421,8.221932412
DE,Buildings,CO2,HLR_Hardcoal,Emissions,SocietalCommitment_globalLimit,3.314784,1.268501541,0.049158247,0.098316493,0.049169296,
DE,Buildings,CO2,HLR_Hardcoal_CHP,Emissions,SocietalCommitment_globalLimit,27.80141419,23.63120206,13.9007071,2.780141419,,
DE,Buildings,CO2,HLR_Lignite_CHP,Emissions,SocietalCommitment_globalLimit,8.132129032,6.912309677,4.066064516,0.813212903,,
DE,Buildings,CO2,HLR_Oil_Boiler,Emissions,SocietalCommitment_globalLimit,53.95218042,31.98928638,0.200001534,0.400003067,0.800006134,
DE,Transportation,CO2,FRT_Rail_Conv,Emissions,SocietalCommitment_globalLimit,13.05531346,10.62867586,,,,
