Region,Category,Emission,Technology,Timeslice,Scenario,Year,Value,2025,2030,2035,2040,2045,2050
AT,Power,CO2,P_Coal_Hardcoal,Emissions,TechnoFriendly_globalLimit,1.785375289,,,,,,,
AT,Power,CO2,P_Gas,Emissions,TechnoFriendly_globalLimit,2.74325131,2.238704567,0.446873257,0.626053266,,,,
AT,Power,CO2,P_Oil,Emissions,TechnoFriendly_globalLimit,0.424368421,0.358259327,,,,,,
AT,Industry,CO2,HLI_Gas_Boiler,Emissions,TechnoFriendly_globalLimit,3.984488762,4.197474815,4.286410074,3.889733445,1.78021868,,,
AT,Industry,CO2,HLI_Hardcoal,Emissions,TechnoFriendly_globalLimit,0.215569685,0.192809052,0.008413989,0.005022236,0.00249368,,,
AT,Industry,CO2,HLI_Oil_Boiler,Emissions,TechnoFriendly_globalLimit,0.600755257,0.152277287,0.029313939,0.017478904,0.00868611,,,
AT,Industry,CO2,HMI_Gas,Emissions,TechnoFriendly_globalLimit,12.9285883,12.88823293,12.45189949,5.191596306,3.436852729,,,
AT,Industry,CO2,HMI_HardCoal,Emissions,TechnoFriendly_globalLimit,0.542047759,0.164930092,0.021163924,,,,,
AT,Industry,CO2,HMI_Oil,Emissions,TechnoFriendly_globalLimit,0.5263293,0.166760321,,,,,,
AT,Industry,CO2,HHI_BF_BOF,Emissions,TechnoFriendly_globalLimit,19.19224159,18.16046796,16.34366852,4.711782146,1.610001634,0.228389125,,
AT,Industry,CO2,HHI_DRI_EAF,Emissions,TechnoFriendly_globalLimit,0.446350331,,0.191719643,0.051755699,0.072793824,,,
AT,Buildings,CO2,HLR_Gas_Boiler,Emissions,TechnoFriendly_globalLimit,12.14434148,11.85083937,11.17245856,5.800976036,2.961676466,,,
AT,Buildings,CO2,HLR_Hardcoal,Emissions,TechnoFriendly_globalLimit,0.060342187,0.042250342,0.011858057,0.001775101,0.000881387,,,
AT,Buildings,CO2,HLR_Oil_Boiler,Emissions,TechnoFriendly_globalLimit,3.195259106,0.750330137,0.095998112,0.092840954,0.046105461,,,
AT,Transportation,CO2,FRT_Rail_Conv,Emissions,TechnoFriendly_globalLimit,2.499142439,2.015054323,,,,,,
AT,Transportation,CO2,FRT_Road_ICE,Emissions,TechnoFriendly_globalLimit,40.0211555,38.9640484,30.82300044,19.80603029,1.958579531,,,
AT,Transportation,CO2,FRT_Ship_Conv,Emissions,TechnoFriendly_globalLimit,0.49616343,0.983724988,0.721999866,0.0632268,,,,
AT,Transportation,CO2,PSNG_Air_Conv,Emissions,TechnoFriendly_globalLimit,0.306609688,0.296916558,0.268334494,0.004990838,,,,
AT,Transportation,CO2,PSNG_Rail_Conv,Emissions,TechnoFriendly_globalLimit,0.266569081,0.199418951,,,,,,
AT,Transportation,CO2,PSNG_Road_ICE,Emissions,TechnoFriendly_globalLimit,9.522965434,8.36176121,5.745050547,3.489445094,0.324874845,,,
BE,Power,CO2,P_Coal_Hardcoal,Emissions,TechnoFriendly_globalLimit,1.707479547,,,,,,,
BE,Power,CO2,P_Gas,Emissions,TechnoFriendly_globalLimit,7.392077617,6.032505246,1.56184467,8.891232443,5.829427957,0.200395386,,
BE,Industry,CO2,HLI_Gas_Boiler,Emissions,TechnoFriendly_globalLimit,4.404476391,4.106611825,4.302416879,4.402318284,2.964588921,,,
BE,Industry,CO2,HLI_Hardcoal,Emissions,TechnoFriendly_globalLimit,0.203875127,0.182355549,0.015956062,0.00952493,0.002364696,,,
BE,Industry,CO2,HLI_Oil_Boiler,Emissions,TechnoFriendly_globalLimit,0.295651671,0.206162559,0.022980454,0.005960638,0.004276917,,,
BE,Industry,CO2,HMI_Gas,Emissions,TechnoFriendly_globalLimit,24.48105368,31.0033106,28.27088311,24.3347828,11.08834798,,,
BE,Industry,CO2,HMI_HardCoal,Emissions,TechnoFriendly_globalLimit,0.311397948,0.094705405,0.012156521,0.00724361,,,,
BE,Industry,CO2,HMI_Oil,Emissions,TechnoFriendly_globalLimit,19.03743764,12.95758311,,,,,,
BE,Industry,CO2,HHI_BF_BOF,Emissions,TechnoFriendly_globalLimit,17.26724426,15.69089563,13.39936347,5.017906849,1.721855685,0.255632471,,
BE,Industry,CO2,HHI_DRI_EAF,Emissions,TechnoFriendly_globalLimit,0.791040226,,0.275927706,0.245504784,0.115674974,,,
BE,Buildings,CO2,HLR_Gas_Boiler,Emissions,TechnoFriendly_globalLimit,16.52346202,17.24097152,18.98405613,9.848548975,4.522957204,,,
