Scenario,Technology,2015,2020,2025,2030,2035,2040,2045,2050
GradualDevelopment,P_Biomass, 0.55, 0.41, 0.31, 0.23, 0.17, 0.025, 0.025, 0.025
GradualDevelopment,P_Gas, 1.20, 1.20, 1.15, 1.11, 1.11, 1.109, 1.102, 0.054
GradualDevelopment,RES_Hydro_Large,24.70,24.70,24.70,24.70,24.70,24.700,24.700,24.700
GradualDevelopment,RES_Hydro_Small, 6.30, 6.30, 6.30, 6.30, 6.30, 6.300, 6.300, 6.300
GradualDevelopment,RES_PV_Rooftop_Commercial, 0.00, 0.00, 0.00, 0.00, 0.00, 6.810, 6.848, 6.848
GradualDevelopment,RES_PV_Rooftop_Residential, 0.00, 0.00, 0.00, 0.00, 0.00, 7.377, 7.377, 7.377
GradualDevelopment,RES_PV_Utility_Avg, 0.00, 0.00, 2.60, 2.61, 5.20, 5.200, 5.200, 5.200
GradualDevelopment,RES_PV_Utility_Inf, 0.00, 0.00, 0.00, 0.00, 2.60, 5.200, 5.200, 5.200
GradualDevelopment,RES_PV_Utility_Opt, 0.00, 0.00, 2.60, 5.20, 5.20, 5.200, 5.200, 5.200
GradualDevelopment,RES_Wind_Offshore_Transitional, 0.00, 0.00, 0.00, 0.00, 0.00, 0.000, 0.000, 0.007
GradualDevelopment,RES_Wind_Onshore_Avg, 1.20, 1.20, 1.19, 1.01, 0.86, 0.729, 0.724, 0.724
GradualDevelopment,RES_Wind_Onshore_Opt, 0.00, 0.00, 6.98,13.95,13.95,13.953,13.953,13.953
GradualDevelopment,Sum,33.95,33.81,45.83,55.11,60.10,76.604,76.629,75.588
