Scenario,Technology,2015,2020,2025,2030,2035,2040,2045,2050
TU\SocietalCommitment,HLI_Biomass_CHP_CCS,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
TU\SocietalCommitment,P_Biomass,  0.41,  0.41,  0.35,  0.30,  0.25,  0.21,  0.18,  0.15
TU\SocietalCommitment,P_Gas,  2.17,  1.84,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
TU\SocietalCommitment,RES_Hydro_Large, 71.40, 71.40, 71.40, 71.40, 71.40, 71.40, 71.40, 71.40
TU\SocietalCommitment,RES_Hydro_Small, 29.68, 29.68, 29.68, 29.68, 29.68, 29.68, 29.68, 29.68
TU\SocietalCommitment,RES_PV_Rooftop_Commercial,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.33,  0.88
TU\SocietalCommitment,RES_PV_Rooftop_Residential,  0.00,  0.00,  0.00,  0.00,  4.81,  4.81,  4.81,  4.81
TU\SocietalCommitment,RES_PV_Utility_Avg,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
TU\SocietalCommitment,RES_PV_Utility_Inf,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
TU\SocietalCommitment,RES_PV_Utility_Opt,  0.00,  0.00,  0.00,  0.00,  2.30,  2.98,  4.61,  4.61
TU\SocietalCommitment,RES_Wind_Offshore_Deep,  0.00,  0.00,  0.00,  0.00, 32.70, 33.26, 33.26, 33.26
TU\SocietalCommitment,RES_Wind_Offshore_Transitional,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
TU\SocietalCommitment,RES_Wind_Onshore_Avg,  2.30,  2.30,  2.28,  9.07,  8.74,  7.54,  7.53,  7.53
TU\SocietalCommitment,RES_Wind_Onshore_Opt,  0.00, 16.72, 33.45, 33.45, 33.45, 33.45, 31.53, 31.01
TU\SocietalCommitment,Sum,105.96,122.36,137.15,143.89,183.34,183.34,183.34,183.34
