Scenario,Technology,2015,2020,2025,2030,2035,2040,2045,2050
DirectedTransition,HLI_Biomass_CHP_CCS,  0.00,  0.00,  0.00,  0.097,  0.42,  0.052,  0.041,  0.035
DirectedTransition,HLR_Gas_CHP,  0.00,  0.00,  0.00,  0.000,  0.00,  0.000,  0.000,  0.000
DirectedTransition,P_Biomass,  0.41,  0.41,  0.35,  0.296,  0.25,  0.214,  0.182,  0.154
DirectedTransition,P_Gas,  2.17,  1.84,  0.00,  0.000,  0.00,  0.000,  0.000,  0.000
DirectedTransition,RES_Hydro_Large, 67.64, 67.64, 67.64, 67.645, 67.64, 67.645, 67.645, 67.645
DirectedTransition,RES_Hydro_Small, 29.68, 29.68, 29.68, 29.677, 29.68, 29.677, 29.677, 29.677
DirectedTransition,RES_PV_Utility_Avg,  0.00,  0.00,  0.00,  0.000,  0.00,  0.491,  0.491,  2.449
DirectedTransition,RES_PV_Utility_Opt,  0.00,  0.00,  0.00,  0.000,  2.30,  4.606,  4.606,  4.606
DirectedTransition,RES_Wind_Offshore_Deep,  0.00,  0.00,  0.00,  0.000, 32.29, 36.821, 37.070, 37.320
DirectedTransition,RES_Wind_Onshore_Avg,  2.29,  2.29,  2.27,  1.927,  1.64,  1.393,  1.393,  1.393
DirectedTransition,RES_Wind_Onshore_Opt,  0.00, 16.33, 33.06, 33.448, 33.45, 33.448, 33.448, 31.267
DirectedTransition,Sum,102.19,118.20,132.99,133.090,167.68,174.345,174.552,174.546
