Region,Category,Emission,Technology,Timeslice,Scenario,Year,Value,2025,2030,2035,2040,2045,2050
AT,Power,CO2,P_Coal_Hardcoal,Emissions,TechnoFriendly_globalLimit,1.785375289,,,,,,,
AT,Power,CO2,P_Gas,Emissions,TechnoFriendly_globalLimit,2.74325131,2.238704567,0.45473587,0.626053266,,,,
AT,Power,CO2,P_Oil,Emissions,TechnoFriendly_globalLimit,0.424368421,0.358259327,,,,,,
AT,Industry,CO2,HLI_Gas_Boiler,Emissions,TechnoFriendly_globalLimit,3.984488762,4.05988685,4.286410074,4.222503978,2.031287776,,,
AT,Industry,CO2,HLI_Hardcoal,Emissions,TechnoFriendly_globalLimit,0.215569685,0.192809052,0.008413989,0.005022236,0.00249368,,,
AT,Industry,CO2,HLI_Oil_Boiler,Emissions,TechnoFriendly_globalLimit,0.600755257,0.342623895,0.029313939,0.017478904,0.00868611,,,
AT,Industry,CO2,HMI_Gas,Emissions,TechnoFriendly_globalLimit,12.9285883,12.91802268,12.4616371,6.684824619,2.382957728,,,
AT,Industry,CO2,HMI_HardCoal,Emissions,TechnoFriendly_globalLimit,0.542047759,0.027488349,0.042327848,,,,,
AT,Industry,CO2,HMI_Oil,Emissions,TechnoFriendly_globalLimit,0.5263293,0.233464449,,,,,,
AT,Industry,CO2,HHI_BF_BOF,Emissions,TechnoFriendly_globalLimit,19.19224159,18.1182371,16.30227878,4.486483686,1.610001634,0.228389125,,
AT,Industry,CO2,HHI_DRI_EAF,Emissions,TechnoFriendly_globalLimit,0.446350331,,0.191719643,0.037313276,0.072793824,,,
AT,Buildings,CO2,HLR_Gas_Boiler,Emissions,TechnoFriendly_globalLimit,12.14434148,11.66165664,11.1274221,6.729435767,2.920213689,0.800619567,,
AT,Buildings,CO2,HLR_Hardcoal,Emissions,TechnoFriendly_globalLimit,0.060342187,0.042250342,0.011858057,0.001775101,0.000881387,,,
AT,Buildings,CO2,HLR_Oil_Boiler,Emissions,TechnoFriendly_globalLimit,3.195259106,1.012055736,0.091023857,0.092840954,0.046105461,,,
AT,Transportation,CO2,FRT_Rail_Conv,Emissions,TechnoFriendly_globalLimit,2.499142439,2.042657807,,,,,,
