Scenario,Technology,2015,2020,2025,2030,2035,2040,2045,2050,Region
GradualDevelopment,Hydro,13.86,13.86,13.86,13.86,13.86,13.86,13.86,13.86,AT
GradualDevelopment,PV,0.98,0.96,7.45,11.99,14.86,20.68,26.08,26.43,AT
GradualDevelopment,Thermal,8.88,6.65,5.06,4.68,3.93,3.42,2.23,0.36,AT
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AT
GradualDevelopment,Wind Onshore,2.57,2.54,11.75,17.44,21.15,21.44,26.39,26.39,AT
GradualDevelopment,Sum,26.29,24.01,38.12,47.98,53.8,59.4,68.56,67.03,AT
GradualDevelopment,Hydro,1.43,1.42,1.42,1.41,1.4,1.4,1.4,1.4,BE
GradualDevelopment,PV,3.18,2.86,5.02,11.34,20.04,38.13,44.45,44.45,BE
GradualDevelopment,Thermal,15.59,14.01,11.99,11.54,5.29,3.53,2.29,1.26,BE
GradualDevelopment,Wind Offshore,0.79,0.79,0.79,0.79,0.67,3.1,3.1,3.1,BE
GradualDevelopment,Wind Onshore,1.38,1.37,5.19,12.67,15.34,19.18,21.38,21.38,BE
GradualDevelopment,Sum,22.37,20.45,24.41,37.75,42.74,65.33,72.62,71.58,BE
GradualDevelopment,Hydro,3.2,3.82,3.81,5.32,5.31,5.31,5.3,5.25,BG
GradualDevelopment,PV,1.19,1.18,4.84,7.72,8.43,10.96,15.29,15.41,BG
GradualDevelopment,Thermal,8.18,4.78,4.56,6.28,10.17,8.83,7.66,7.46,BG
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BG
GradualDevelopment,Wind Onshore,0.82,0.81,0.81,0.8,0.68,0.58,0.58,0.58,BG
GradualDevelopment,Sum,13.39,10.59,14.01,20.11,24.6,25.67,28.83,28.7,BG
GradualDevelopment,Hydro,14.24,14.24,14.244,14.244,14.244,14.24,14.24,14.24,CH
GradualDevelopment,PV,1.09,1.03,9.098,16.207,20.258,25.98,25.98,26.11,CH
