Scenario,Technology,2015,2020,2025,2030,2035,2040,2045,2050,Region
GradualDevelopment,Hydro,22.68,46.83,46.83,46.83,46.83,46.83,46.83,46.83,AT
GradualDevelopment,PV,0.97,0.97,8.62,13.98,17.2,23.03,28.44,28.73,AT
GradualDevelopment,Thermal,15.1,11.47,5.63,5.04,2.61,2.22,1.89,1.6,AT
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AT
GradualDevelopment,Wind Onshore,4.61,4.61,25.59,38.69,47.2,48.0,56.98,56.98,AT
GradualDevelopment,Sum,43.36,63.88,86.67,104.53,113.83,120.07,134.14,134.14,AT
GradualDevelopment,Hydro,4.07,4.07,4.07,4.04,4.01,4.01,4.01,4.01,BE
GradualDevelopment,PV,2.58,2.58,4.87,11.57,20.07,35.36,40.05,40.05,BE
GradualDevelopment,Thermal,52.66,61.67,44.27,32.03,23.99,3.39,2.84,8.56,BE
GradualDevelopment,Wind Offshore,2.15,2.15,2.15,2.15,1.83,8.83,8.83,8.83,BE
GradualDevelopment,Wind Onshore,2.49,2.49,11.2,26.55,31.42,36.66,39.66,39.66,BE
GradualDevelopment,Sum,63.94,72.96,66.55,76.35,81.32,88.25,95.39,101.11,BE
GradualDevelopment,Hydro,2.54,9.27,9.25,13.61,13.59,13.58,13.56,13.46,BG
GradualDevelopment,PV,1.35,1.35,6.25,10.11,11.08,13.96,18.76,18.87,BG
GradualDevelopment,Thermal,31.37,33.58,28.65,36.69,68.63,59.94,51.25,49.98,BG
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BG
GradualDevelopment,Wind Onshore,1.2,1.2,1.2,1.2,1.02,0.86,0.86,0.86,BG
GradualDevelopment,Sum,36.45,45.4,45.34,61.6,94.32,88.34,84.43,83.18,BG
GradualDevelopment,Hydro,41.393,42.359,42.359,42.359,42.359,42.36,42.36,42.36,CH
GradualDevelopment,PV,1.147,1.147,10.901,19.592,23.299,28.86,28.86,29.01,CH
GradualDevelopment,Thermal,21.252,25.768,20.891,12.332,2.029,1.18,1.0,0.85,CH
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CH
GradualDevelopment,Wind Onshore,0.089,0.089,0.088,0.081,0.069,4.66,9.86,9.86,CH
GradualDevelopment,Sum,63.88,69.363,74.238,74.364,67.756,77.05,82.07,82.07,CH
GradualDevelopment,Hydro,5.43,6.07,6.06,6.06,6.03,6.0,5.99,5.98,CZ
GradualDevelopment,PV,2.16,2.16,5.66,6.61,10.97,22.51,26.36,26.63,CZ
GradualDevelopment,Thermal,62.24,66.14,62.76,91.06,144.41,132.42,132.11,130.59,CZ
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ
GradualDevelopment,Wind Onshore,0.68,0.68,0.68,0.63,0.53,0.45,0.84,0.84,CZ
GradualDevelopment,Sum,70.51,75.04,75.17,104.35,161.95,161.38,165.31,164.04,CZ
